run,epoch,bank,joint,joint_delta_parent,joint_delta_native_same_epoch,run_status,source,bbat/ball/box/map50_95,bbat/ball/pose/map50_95,bbat/bat/box/map50_95,bbat/bat/pose/map50_95,bbat/box/map50_95,bbat/pose/map50_95,coco/box/map50_95,coco/person/box/map50_95,bbat/ball/box/map50_95_delta_parent,bbat/ball/pose/map50_95_delta_parent,bbat/bat/box/map50_95_delta_parent,bbat/bat/pose/map50_95_delta_parent,bbat/box/map50_95_delta_parent,bbat/pose/map50_95_delta_parent,coco/box/map50_95_delta_parent,coco/person/box/map50_95_delta_parent
native,1,ema,0.7112260043801761,5.126540491084963e-05,0.0,paused_for_analysis,artifacts/direction1-20260908/native-parent-ema-control-adopted/summary.json,0.5069265198007662,0.8604628165393725,0.7523808869123675,0.9475748636578352,0.6296537033565669,0.904018840098604,0.4979824475960363,0.6204561907510695,-0.0005105163865625206,0.0005541013475960366,-0.00025312041443514843,4.923062372175213e-05,-0.000381818400498668,0.0003016659856591719,-3.988887488581838e-05,7.470232862061277e-05
native,1,live,0.7071994219042768,-0.003975317070988527,,paused_for_analysis,artifacts/direction1-20260908/native-parent-ema-control-adopted/summary.json,0.4973858916240889,0.8534414464291293,0.7474535189694465,0.943351040789603,0.6224197052967677,0.8983962436093664,0.496307966836859,0.6204769501690237,-0.0100511445632398,-0.006467268762647138,-0.005180488357356183,-0.004174592244510444,-0.007615816460297853,-0.005320930503578403,-0.0017143696340631287,9.546174657482087e-05
native,2,ema,0.7110669309905167,-0.00010780798474863129,0.0,paused_for_analysis,artifacts/direction1-20260908/native-parent-ema-control-adopted/summary.json,0.5064170959777128,0.8601914357589611,0.7518459965635353,0.9474707771912652,0.6291315462706242,0.9038311064751131,0.49823235732655363,0.620308538405179,-0.0010199402096159327,0.00028272056718459115,-0.0007880107632672884,-5.4855842848255953e-05,-0.0009039754864413885,0.00011393236216827862,0.00021002085563148754,-7.295001726992378e-05
native,2,live,0.7052167288454597,-0.005958010129805569,,paused_for_analysis,artifacts/direction1-20260908/native-parent-ema-control-adopted/summary.json,0.4808288024888546,0.8512526862801393,0.7484988418052285,0.9451803342574212,0.6146638221470416,0.8982165102687801,0.4951561077124029,0.6198306938302938,-0.026608233698474093,-0.008656028911637192,-0.0041351655215741134,-0.002345298776692206,-0.015371699610023937,-0.005500663844164699,-0.002866228758519218,-0.0005507945921551238
native,3,ema,0.7110187195653098,-0.0001560194099554657,0.0,paused_for_analysis,artifacts/direction1-20260908/native-parent-ema-control-adopted/summary.json,0.5059243479166954,0.8594355456257992,0.7521227250565924,0.9472217795098903,0.6290235364866439,0.9033286625678445,0.49859818071099454,0.6208145554932216,-0.0015126882706333333,-0.0004731695659773161,-0.0005112822702102449,-0.00030385352422312994,-0.001011985270421678,-0.00038851154510033403,0.0005758442400723984,0.0004330670707727302
native,3,live,0.7059868092962232,-0.005187929679042136,,paused_for_analysis,artifacts/direction1-20260908/native-parent-ema-control-adopted/summary.json,0.4970548907537647,0.848980996335038,0.7510455065025867,0.9410621476432073,0.6240501986281759,0.8950215719891226,0.49564196984292613,0.6201987340317685,-0.010382145433564027,-0.010927718856738489,-0.0015885008242159104,-0.006463485390906132,-0.0059853231288896636,-0.008695602123822255,-0.002380366627996011,-0.00018275439068038413
native,4,ema,0.7100520603451678,-0.0011226786300975178,0.0,paused_for_analysis,artifacts/direction1-20260908/native-parent-ema-control-adopted/summary.json,0.5037077467022175,0.8558890137089202,0.7520094708760905,0.9473377613561029,0.627858608789154,0.9016133875325115,0.4985944735944466,0.6205804442772148,-0.003729289485111198,-0.004019701482856242,-0.0006245364507121431,-0.0001878716780104872,-0.0021769129679115595,-0.002103786580433309,0.000572137123524441,0.00019895585476592537
native,4,live,0.7026842243224684,-0.008490514652796932,,paused_for_analysis,artifacts/direction1-20260908/native-parent-ema-control-adopted/summary.json,0.4823796297038575,0.8377914892060654,0.7484724225451207,0.9443143408746038,0.615426026124489,0.8910529150403346,0.49592207484848366,0.6199671905586996,-0.025057406483471212,-0.022117225985711086,-0.004161584781681937,-0.00321129215950966,-0.014609495632576519,-0.012664259072610262,-0.002100261622438482,-0.0004142978637492467
native,5,ema,0.7101160556236886,-0.0010586833515766614,0.0,paused_for_analysis,artifacts/direction1-20260908/native-parent-ema-control-adopted/summary.json,0.5023759175814532,0.856319718152535,0.7525825789292645,0.948211650214138,0.6274792482553586,0.9022656841833365,0.4980650796282822,0.6205045818681292,-0.0050611186058755475,-0.003588997039241426,-5.142839753813355e-05,0.0006860171800245896,-0.0025562735017069516,-0.0014514899296083072,4.274315736008116e-05,0.00012309344568028902
native,5,live,0.7053870730369839,-0.005787665938281394,,paused_for_analysis,artifacts/direction1-20260908/native-parent-ema-control-adopted/summary.json,0.4943493560492561,0.8447658534672291,0.7536258629966813,0.9418633367308512,0.6239876095229685,0.8933145950990402,0.4966444908980459,0.6196740745658244,-0.0130876801380726,-0.015142861724547374,0.000991855669878694,-0.005662296303262204,-0.006047912234097064,-0.010402579013904623,-0.001377845572876235,-0.0007074138566245392
