candidate,role,map50_95,map50,map75,delta_vs_audited_parent,decision
formal-zero-train,formal_winner,0.5067368995935831,0.6770477182154060,0.5551035937976228,-0.0000073337707150,retained
audited-parent,control,0.5067442333642981,0.6772014046626654,0.5551102133184882,0.0000000000000000,control
block-x1,best_observed,0.5069386684559859,0.6776317771845960,0.5550554741424325,0.0001944350916878,selected_observed
block-x2,lr_pilot,0.5064341781526567,0.6766347055203897,0.5545471586542357,-0.0003100552116414,rejected_global
block-x4,lr_pilot,0.5057494766219073,0.6759019106218311,0.5535490692163781,-0.0009947567423908,rejected_global
neck,recovery,0.5062756598989532,0.6766533906868751,0.5544924139998380,-0.0004685734653449,accepted_phase_only
backbone-last,recovery,0.5062367731678350,0.6769616291244904,0.5539444578408474,-0.0005074601964631,accepted_phase_only
full-model,recovery,0.5060108182249959,0.6766641218578462,0.5536730535788958,-0.0007334151393022,accepted_phase_only
