policy_id,activation,activation_bits,status,quantized_deployment_sites,training_only_unquantized_sites,detect_raw_nrmse,pose_raw_nrmse,worst_raw_nrmse,detect_decoded_nrmse,pose_decoded_nrmse,worst_decoded_nrmse,detect_topk_pair_overlap,pose_topk_pair_overlap,minimum_topk_pair_overlap,detect_anchor_jaccard,pose_anchor_jaccard,minimum_anchor_jaccard,peak_gpu_memory_mib
hardswish--lsq-plus-a3,hardswish,3,passed,124,66,0.8188576977614359,0.6593281025622687,0.8188576977614359,0.5447667598845253,0.6680083809648371,0.6680083809648371,0.0,0.016666666666666666,0.0,0.024861878453038673,0.012455516014234875,0.012455516014234875,400.79248046875
poly_quality--lsq-plus-a3,poly_quality,3,passed,124,66,0.6319293463417925,0.5153150506192172,0.6319293463417925,0.5589686426548384,0.6846879589485029,0.6846879589485029,0.0,0.016666666666666666,0.0,0.036855036855036855,0.012987012987012988,0.012987012987012988,534.6123046875
poly_shift--lsq-plus-a3,poly_shift,3,passed,124,66,0.629569411750701,0.5130095126484541,0.629569411750701,0.527703060784127,0.6376709764895562,0.6376709764895562,0.0,0.006666666666666667,0.0,0.009230769230769232,0.011320754716981131,0.009230769230769232,534.6123046875
qsilu_pq--lsq-plus-a3,qsilu_pq,3,passed,124,66,0.6328067217233632,0.5206512434836981,0.6328067217233632,0.5546784822971393,0.6282157657504424,0.6282157657504424,0.0,0.013333333333333334,0.0,0.015463917525773196,0.007575757575757576,0.007575757575757576,531.48828125
silu--lsq-plus-a3,silu,3,passed,124,66,0.6482277330406293,0.5511948282511039,0.6482277330406293,0.5422112882727796,0.6489259908407652,0.6489259908407652,0.0033333333333333335,0.006666666666666667,0.0033333333333333335,0.014814814814814815,0.0076481835564053535,0.0076481835564053535,374.61279296875
hardswish--lsq-plus-a4,hardswish,4,passed,124,66,0.6809284461267459,0.5257940370732925,0.6809284461267459,0.5343365099616642,0.6306741337296865,0.6306741337296865,0.0,0.0,0.0,0.005649717514124294,0.014787430683918669,0.005649717514124294,400.79248046875
poly_quality--lsq-plus-a4,poly_quality,4,passed,124,66,0.6019682775918243,0.4076033242887456,0.6019682775918243,0.515121157492865,0.6175515891838053,0.6175515891838053,0.0033333333333333335,0.02666666666666667,0.0033333333333333335,0.061068702290076333,0.01890359168241966,0.01890359168241966,534.6123046875
poly_shift--lsq-plus-a4,poly_shift,4,passed,124,66,0.6398083800115864,0.4426951641486216,0.6398083800115864,0.5264827034690557,0.6303414032009222,0.6303414032009222,0.023333333333333334,0.023333333333333334,0.023333333333333334,0.04381443298969072,0.026871401151631478,0.026871401151631478,534.6123046875
qsilu_pq--lsq-plus-a4,qsilu_pq,4,passed,124,66,0.6564068107917301,0.42894194660702967,0.6564068107917301,0.5356085928664949,0.592199908740414,0.592199908740414,0.0,0.013333333333333334,0.0,0.05167958656330749,0.013257575757575758,0.013257575757575758,531.48828125
silu--lsq-plus-a4,silu,4,passed,124,66,0.664783104225704,0.415849283252043,0.664783104225704,0.5382828465368135,0.6061475135309492,0.6061475135309492,0.02,0.01,0.01,0.045454545454545456,0.027131782945736434,0.027131782945736434,374.32470703125
hardswish--lsq-plus-a5,hardswish,5,passed,124,66,0.3812552269403092,0.4453219639341191,0.4453219639341191,0.5389484513064646,0.6974489273003239,0.6974489273003239,0.14333333333333334,0.02,0.02,0.10831234256926953,0.01904761904761905,0.01904761904761905,400.79248046875
poly_quality--lsq-plus-a5,poly_quality,5,passed,124,66,0.2874419915975737,0.3797268481875137,0.3797268481875137,0.5271136722445348,0.6993770765740329,0.6993770765740329,0.2866666666666667,0.09666666666666666,0.09666666666666666,0.20108695652173914,0.06653225806451613,0.06653225806451613,534.6123046875
poly_shift--lsq-plus-a5,poly_shift,5,passed,124,66,0.300686420155227,0.3815789961996377,0.3815789961996377,0.5383863561935103,0.6596194881290849,0.6596194881290849,0.30333333333333334,0.06666666666666667,0.06666666666666667,0.226775956284153,0.04435483870967742,0.04435483870967742,534.6123046875
