cell_id,activation,activation_role,weight_bits,status,quantized_modules,weight_elements,weight_nrmse,weight_sqnr_db,clipping_rate,zero_ratio,detect_raw_nrmse,detect_topk_overlap,detect_anchor_jaccard,pose_raw_nrmse,pose_topk_overlap,pose_anchor_jaccard,worst_raw_nrmse,minimum_topk_overlap,weight_code_bytes,scale_bytes
poly_quality--lsq-plus-a8--backbone_early--w4-mse,poly_quality,activation_numeric,4,passed,21,1218240,0.16162280122264983,15.829947407535318,0.005711518255844497,0.2910731875492514,0.25789071198590985,0.03,0.058823529411764705,0.21056053367236266,0.10333333333333333,0.06031128404669261,0.25789071198590985,0.03,609120,9472
poly_quality--lsq-plus-a8--backbone_early--w8-mse,poly_quality,activation_numeric,8,passed,21,1218240,0.011977672847245357,38.432551064268836,0.00037841476228001053,0.027817999737325978,0.0973036205918899,0.8066666666666666,0.7049180327868853,0.10026671429189832,0.55,0.38618925831202044,0.10026671429189832,0.55,1218240,9472
poly_shift--lsq-plus-a8--backbone_early--w4-mse,poly_shift,hardware,4,passed,21,1218240,0.16162322886619787,15.829924425259795,0.005705772261623326,0.2911421394799054,0.2638820509172623,0.016666666666666666,0.06388888888888888,0.2113045496834094,0.11,0.06818181818181818,0.2638820509172623,0.016666666666666666,609120,9472
poly_shift--lsq-plus-a8--backbone_early--w8-mse,poly_shift,hardware,8,passed,21,1218240,0.011977615805392626,38.43259242960113,0.00037841476228001053,0.02782292487522984,0.10158132168625725,0.82,0.7172131147540983,0.09827758052915683,0.6,0.4411764705882353,0.10158132168625725,0.6,1218240,9472
qsilu_pq--lsq-plus-a8--backbone_early--w4-mse,qsilu_pq,accuracy_headroom,4,passed,21,1218240,0.16162178325618645,15.830002114990794,0.0057016679800367745,0.291146243761492,0.26158167411307187,0.023333333333333334,0.06567164179104477,0.21645842190348955,0.05,0.02857142857142857,0.26158167411307187,0.023333333333333334,609120,9472
qsilu_pq--lsq-plus-a8--backbone_early--w8-mse,qsilu_pq,accuracy_headroom,8,passed,21,1218240,0.011977298021321617,38.43282288230821,0.0003734896243761492,0.027811432886787498,0.10502032306964687,0.7866666666666666,0.6745098039215687,0.10660977144642488,0.48,0.3260340632603406,0.10660977144642488,0.48,1218240,9472
