metric,label,standalone,j2,j3,j2_delta_vs_standalone,j3_delta_vs_standalone,j3_delta_vs_j2,j3_gate_passed
coco/box/map50_95,COCO overall box,0.506400885642831,0.497345631101744,0.49802233647092214,-0.009055254541087021,-0.008378549171908889,0.0006767053691781322,True
coco/person/box/map50_95,COCO person box,0.6261855612319002,0.618511145604136,0.6203814884224489,-0.007674415627764164,-0.005804072809451277,0.0018703428183128867,True
bbat/box/map50_95,BBAT box overall,0.6309636130180573,0.6305660435884931,0.6300355217570656,-0.00039756942956414854,-0.0009280912609916925,-0.0005305218314275439,True
bbat/pose/map50_95,BBAT pose overall,0.9121605479811887,0.9018841296717675,0.9037171741129448,-0.010276418309421276,-0.008443373868243897,0.0018330444411773783,True
bbat/ball/box/map50_95,ball box,0.5107468998865554,0.5108657344286962,0.5074370361873287,0.00011883454214078881,-0.0033098636992267005,-0.0034286982413674894,True
bbat/bat/box/map50_95,bat box,0.7511803261495589,0.75026635274829,0.7526340073268026,-0.0009139734012688638,0.0014536811772437597,0.0023676545785126235,True
bbat/ball/pose/map50_95,ball pose,0.8762630801123518,0.8607985070155056,0.8599087151917765,-0.015464573096846124,-0.016354364920575293,-0.0008897918237291691,True
bbat/bat/pose/map50_95,bat pose,0.9480580158500256,0.9429697523280293,0.9475256330341134,-0.005088263521996317,-0.0005323828159121691,0.004555880706084148,True
