candidate_id,label,decision_role,checkpoint,global_epoch,validation_source,all_eight_gates_passed,joint_score,coco_overall_ap50_95,person_ap50_95,person_ap50,person_ap75,person_precision,person_recall,person_ap50_95_delta_vs_standalone,person_ap50_delta_vs_standalone,person_ap75_delta_vs_standalone
standalone_detect,Standalone Detect,person-only accuracy baseline,final/full35/weights/standalone/detect-full35-a2-bittrue.pt,,independent formal Bit-True validation,,,0.506400885642831,0.6261855612319002,0.841473115942069,0.6844410144010236,0.7952573592903847,0.7694836455608027,0.0,0.0,0.0
shared_best_detect,Shared best_detect,person-first shared checkpoint; Pose not ready,final/full35/weights/combined/inference/best_detect.pt,0,full per-epoch Bit-True validation,False,0.580499232014127,0.5065545722728799,0.6260570359526075,0.8414635236977497,0.6842281574428801,0.7972449460594129,0.7687668182239955,-0.00012852527929263502,-9.592244319289733e-06,-0.00021285695814343697
j2_best_joint,J2 best_joint,balanced rollback,final/full35/weights/rollback/j2/inference/best_joint.pt,35,independent final Bit-True revalidation,True,0.7100382159275817,0.497345631101744,0.618511145604136,0.8376039819377257,0.6767283516436382,0.7994756604609816,0.7653335807738703,-0.007674415627764164,-0.0038691340043433,-0.007712662757385358
j3_best_joint,J3 best_joint,current joint-score default,final/full35/weights/combined/inference/best_joint.pt,58,independent final Bit-True revalidation,True,0.7111747389752653,0.49802233647092214,0.6203814884224489,0.8394095874767435,0.679217515089811,0.8058975060100467,0.7631994061427113,-0.005804072809451277,-0.002063528465325426,-0.005223499311212576
j3_best_pose,J3 best_pose,pose-first balanced alternative,final/full35/weights/combined/inference/best_pose.pt,59,full per-epoch Bit-True validation,True,0.7111415212904801,0.4980718349147051,0.6205126845454989,0.8393924966826347,0.678979365075057,0.8042538077592797,0.7652407905725156,-0.0056728766864012625,-0.0020806192594342576,-0.0054616493259666
j3_last,J3 last,stage-complete endpoint,final/full35/weights/combined/inference/last.pt,63,full per-epoch Bit-True validation,True,0.7099739723667974,0.497832813314694,0.6203983615542289,0.8391565590821739,0.6787115099885845,0.8066272942830769,0.7629210355386471,-0.005787199677671273,-0.002316556859895069,-0.005729504412439024
