epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,759.336,1.0778,1.14512,0.00576,0.71959,0.61238,0.66978,0.49889,1.07251,1.14861,0.00828,1.66644e-05,1.66644e-05,0.0666878
2,1486.19,1.07465,1.13759,0.00572,0.71918,0.6131,0.67054,0.4992,1.07203,1.146,0.00826,2.67315e-05,2.67315e-05,0.0333646
3,2202.76,1.0734,1.12842,0.00569,0.71632,0.61522,0.67069,0.49938,1.0721,1.14513,0.00826,3.01986e-05,3.01986e-05,3.47074e-05
4,2913.64,1.07171,1.12356,0.00567,0.71865,0.6139,0.67086,0.49948,1.07189,1.14462,0.00826,2.03e-05,2.03e-05,2.03e-05
5,3624.66,1.06886,1.11985,0.00567,0.71902,0.61476,0.6709,0.49967,1.07172,1.14499,0.00825,1.04e-05,1.04e-05,1.04e-05
