candidate,control,epoch,coco/box/map50_95_delta_pp,coco/person/box/map50_95_delta_pp,coco/ball/box/map50_95_delta_pp,coco/bat/box/map50_95_delta_pp
masf-p3-shared-v1,masf-p3-control-v1,1,0.008629303255480725,-0.006527605987627361,-0.01580128692515448,0.063791207388042
masf-p3-shared-v1,masf-p3-control-v1,2,-0.01309371837930895,-0.0003193877492480013,-0.023161253983683405,0.16740822458021776
masf-p3-shared-v1,masf-p3-control-v1,3,-0.02209752610172755,0.007532766206674868,0.05304816390446776,0.054216833827558375
masf-p3-shared-v1,masf-p3-control-v1,4,-0.030419894733124675,0.007309516366493796,0.02254544595874375,0.03917323170576359
masf-p3-shared-v1,masf-p3-control-v1,5,-0.03594560497217625,0.0059397970714747395,-0.03999008826329753,-0.0041776299379847615
masf-p3-fork-v1,masf-p3-control-v1,1,-0.0024109791701865113,-0.006430167539805964,-0.021872904973330165,-0.012732249380909
masf-p3-fork-v1,masf-p3-control-v1,2,-0.00047684178443585523,0.004214872488950139,0.08102493171290304,0.003252849286838888
masf-p3-fork-v1,masf-p3-control-v1,3,0.002260976079970778,-0.0032968140511790978,0.06217408901389998,0.005270804223062031
masf-p3-fork-v1,masf-p3-control-v1,4,0.0016231967346902465,0.01036271594386795,0.00719447603906298,0.02042277902378209
masf-p3-fork-v1,masf-p3-control-v1,5,-0.001069389417063249,-0.0061065848456776095,-0.08843816910741875,0.023031476878532242
masf-head-fork-v1,masf-head-control-v1,6,0.012430822295317334,0.008845070266028099,-0.07448775117502304,0.20462035287180935
masf-head-fork-v1,masf-head-control-v1,7,-0.006208629250359365,-0.0027181351022975697,-0.0783048298024891,0.12415277307212813
masf-head-fork-v1,masf-head-control-v1,8,-0.010630848168458051,-0.015742781053984523,-0.14830579785013454,0.061717562757418465
masf-head-fork-v1,masf-head-control-v1,9,-0.004167373225805182,-0.008227877740973888,-0.18453233436674932,0.17276036884788515
masf-head-fork-v1,masf-head-control-v1,10,-0.008376982187263682,0.009731092392784024,-0.1869603087543359,0.13271518409705974
masf-task-bridge-v1,masf-head-fork-v1,6,-0.0017606273375436743,0.00878794047201037,0.0017646619218214532,-0.17776307255533697
masf-task-bridge-v1,masf-head-fork-v1,7,-2.127110715344216e-05,0.0011312299971866224,-0.029779097951254663,-0.014198527266229277
masf-task-bridge-v1,masf-head-fork-v1,8,0.0051171308528719095,0.0122100308051043,0.06254953610305147,-0.008053909913241508
masf-task-bridge-v1,masf-head-fork-v1,9,0.0025443411179937314,0.015641113314990296,0.15114075323878762,-0.010450811583673225
masf-task-bridge-v1,masf-head-fork-v1,10,0.003132558737128921,0.01167336470342395,0.10589297840242207,0.006362245263735744
masf-task-bridge-v1,masf-head-control-v1,6,0.01067019495777366,0.017633010738038468,-0.07272308925320159,0.026857280316472387
masf-task-bridge-v1,masf-head-control-v1,7,-0.006229900357512808,-0.0015869051051109473,-0.10808392775374376,0.10995424580589885
masf-task-bridge-v1,masf-head-control-v1,8,-0.005513717315586142,-0.003532750248880223,-0.08575626174708306,0.05366365284417696
masf-task-bridge-v1,masf-head-control-v1,9,-0.0016230321078114507,0.007413235574016408,-0.0333915811279617,0.16230955726421192
masf-task-bridge-v1,masf-head-control-v1,10,-0.005244423450134761,0.021404457096207974,-0.08106733035191382,0.13907742936079548
masf-p2-p2-v1,masf-p2-control-v1,1,0.002420813317294268,-0.0024505435607169446,-0.03797187275320635,0.07257942513900217
masf-p2-p2-v1,masf-p2-control-v1,2,-0.009149180498246867,0.005476077872268448,0.02108034568334416,0.07340726033532308
masf-p2-p2-v1,masf-p2-control-v1,3,-0.006291750938336449,0.007999976323269653,0.13857413138722574,-0.12223067377041819
masf-p2-p2-v1,masf-p2-control-v1,4,-0.016890538545011324,0.029512474257309407,-0.1278443166146226,0.007049526493319025
masf-p2-p2-v1,masf-p2-control-v1,5,-0.014887395308227358,0.009925595102067142,-0.12512188730331442,0.017722774324679946
