epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3
1,3767.1,1.06882,1.001,0.0069,0.7136,0.61889,0.66976,0.49612,1.06283,1.11943,0.00828,0.000189974,0.000189974,0.000379949,0.000379949
2,7492.01,1.08026,1.01615,0.00701,0.72312,0.61378,0.67296,0.49977,1.05942,1.1208,0.00825,0.000187675,0.000187675,0.00037535,0.00037535
3,11205.3,1.08198,1.01411,0.00702,0.73052,0.61435,0.67542,0.50385,1.055,1.11291,0.0082,0.000180928,0.000180928,0.000361857,0.000361857
4,14934.5,1.0814,1.0093,0.00698,0.72164,0.61846,0.67568,0.50366,1.05353,1.11138,0.00819,0.00017042,0.00017042,0.00034084,0.00034084
5,18651.6,1.07952,1.00378,0.00695,0.72289,0.61889,0.67471,0.50288,1.05291,1.11359,0.00818,0.000157178,0.000157178,0.000314357,0.000314357
6,22371.8,1.07649,0.99589,0.00692,0.72333,0.6142,0.67416,0.5021,1.05484,1.1116,0.00822,0.0001425,0.0001425,0.000285,0.000285
7,26098,1.07354,0.9897,0.00687,0.728,0.61422,0.67421,0.50205,1.05499,1.1139,0.0082,0.000127822,0.000127822,0.000255643,0.000255643
