metric,standalone,combined,delta,passed
coco/box/map50_95,0.506400885642831,0.497345631101744,-0.009055254541087021,True
coco/person/box/map50_95,0.6261855612319002,0.618511145604136,-0.007674415627764164,True
bbat/box/map50_95,0.6309636130180573,0.6305660435884931,-0.00039756942956414854,True
bbat/pose/map50_95,0.9121605479811887,0.9018841296717675,-0.010276418309421276,True
bbat/ball/box/map50_95,0.5107468998865554,0.5108657344286962,0.00011883454214078881,True
bbat/bat/box/map50_95,0.7511803261495589,0.75026635274829,-0.0009139734012688638,True
bbat/ball/pose/map50_95,0.8762630801123518,0.8607985070155056,-0.015464573096846124,True
bbat/bat/pose/map50_95,0.9480580158500256,0.9429697523280293,-0.005088263521996317,True
