metric,parent_E2,B5,B5_alpha_off,B_best,B5_minus_E2_pp
coco/box/map50_95,0.5022148282180509,0.5022148282180509,0.5022148282180509,0.5022148282180509,0.0
coco/person/box/map50_95,0.6246251972196679,0.6246251972196679,0.6246251972196679,0.6246251972196679,0.0
bbat/box/map50_95,0.6083006909295771,0.6094731204250509,0.6091365974025577,0.6079039782473787,0.11724294954738035
bbat/pose/map50_95,0.8869435963016669,0.8890711566896254,0.8890961681220473,0.8891009529390785,0.21275603879585825
bbat/ball/box/map50_95,0.4904377845696918,0.4903529627598281,0.489917801613463,0.4875920927650353,-0.008482180986368881
bbat/ball/pose/map50_95,0.8490478327519453,0.8531745180412406,0.8532063390969344,0.8531926848720014,0.4126685289295273
bbat/bat/box/map50_95,0.7261635972894623,0.7285932780902739,0.7283553931916522,0.7282158637297222,0.24296808008115178
bbat/bat/pose/map50_95,0.9248393598513885,0.9249677953380102,0.9249859971471605,0.9250092210061556,0.01284354866216697
