global_epoch,stage,coco_overall_ap50_95,person_ap50_95,person_ap50,person_ap75,person_precision,person_recall
0,J0,0.5065545722728799,0.6260570359526075,0.8414635236977497,0.6842281574428801,0.7972449460594129,0.7687668182239955
1,J0,0.5062743387820737,0.6260460315984717,0.8412550492589057,0.6841762580299795,0.7952776801143062,0.7688596084253503
2,J0,0.5062599318454273,0.6260183083327421,0.8413795461472076,0.6843370397192109,0.7964029438923942,0.7697875104388977
3,J0,0.506400885642831,0.6261855612319002,0.841473115942069,0.6844410144010236,0.7952573592903847,0.7694836455608027
4,J0,0.506400885642831,0.6261855612319002,0.841473115942069,0.6844410144010236,0.7952573592903847,0.7694836455608027
5,J0,0.5064125984141974,0.6260539248505543,0.841382497385589,0.684436364228688,0.795820900662284,0.7690451888280597
6,J0,0.5065169381705334,0.6258942809673667,0.8412559924544722,0.684153060701281,0.7948995902660031,0.7699535583633113
7,J0,0.5064176614633993,0.6258888317896498,0.8412567793789227,0.6842406143783728,0.7953442459532053,0.7695091398348335
8,J1,0.47969251445041544,0.6031798988957094,0.8274423172834577,0.6639679256175264,0.7738337524547546,0.7696019300361882
9,J1,0.4733581784905225,0.5993674856193498,0.8265220743855024,0.6600988763744936,0.7808985726941734,0.7602301196993597
10,J1,0.4743364337933641,0.598441889732069,0.8255023865168323,0.6579944365736237,0.771691595171535,0.7699730908416071
11,J1,0.4752845029122379,0.6023497151358337,0.8263021962937505,0.6605359478084266,0.7808443969448398,0.7638489375521945
12,J1,0.4731789503184845,0.6024915519585115,0.8291994638798309,0.6627471651282407,0.7711920267450184,0.7712347101317042
13,J1,0.477256288255738,0.6049735335490798,0.830744370389533,0.6654252764202337,0.7761652496824798,0.7696441572426667
14,J1,0.4800430484430629,0.6046677709962783,0.8300305361247278,0.6630752765414043,0.7909847113753548,0.760137329498005
15,J1,0.48274101146806075,0.6080484325651581,0.8324984544667362,0.6679753177511407,0.765648976288923,0.7796232717824998
16,J1,0.4837939043624688,0.609670536101116,0.8327286060261581,0.6673983427625746,0.780731962348495,0.770715412452445
17,J1,0.48536591694095194,0.6111372438100108,0.8338605131038535,0.6701825365004629,0.7728881189070044,0.7787881599703071
18,J1,0.4869957955548766,0.6114308904270913,0.8347056896302829,0.670239341487409,0.7686725873893632,0.7813862856082398
19,J1,0.49020039120904435,0.6144853516213228,0.8344659100548748,0.6739317734066348,0.7802766295675064,0.7753475015920629
20,J1,0.49091620389319784,0.6147667631578815,0.8344439140304847,0.6737364862717714,0.7877756959258531,0.7696947202375429
21,J1,0.4907217400068619,0.6162636299189417,0.8366851474003212,0.6740621381015811,0.782439699129997,0.7755405029228913
22,J1,0.49320043991250073,0.616142056045905,0.8358506847762129,0.6746825601886387,0.7954627205635217,0.7637561473508397
23,J1,0.49322433246755437,0.6169474889047641,0.8361080741179094,0.6726598106204473,0.7794625237615543,0.7744270205066345
24,J1,0.4938593158884735,0.6174641077919717,0.8363690285105008,0.6743453279623763,0.7824010617963822,0.7740558597012156
25,J1,0.49484831312755234,0.6175052974425419,0.837022278895677,0.674149466844634,0.7875871028974258,0.7720451236459956
26,J1,0.495352864023586,0.6176273711330207,0.8367288520296742,0.6754471639884119,0.7931063690295312,0.7679317064118029
27,J1,0.49625828225067636,0.6182535434795915,0.8369425928214396,0.6775527782678802,0.7894778221963594,0.7701586712443166
28,J2,0.4967382256253078,0.618926871108181,0.8376256721456593,0.6764707160269492,0.787528677883529,0.7735919086944418
29,J2,0.4972283059565757,0.6182287913322189,0.8378626211620245,0.6758424431066742,0.7962383681291867,0.7701586712443166
30,J2,0.4971051645005081,0.619055213253091,0.8386403988795029,0.6779568681036066,0.7864541881381598,0.7767547620941979
31,J2,0.49726794948629016,0.6182298760860107,0.8382083712203456,0.6773116704210714,0.7976804411238271,0.7686333867553747
32,J2,0.49641320235332925,0.6175883941754616,0.8378118639152405,0.6761549980801275,0.7949831492599779,0.7707081459405674
33,J2,0.49702355675377974,0.6184614573138983,0.8383612597084744,0.6763916728414723,0.7953732251590209,0.7692307692307693
34,J2,0.4961832652117789,0.6185256186429682,0.8378654325912787,0.6774943581758062,0.7993914108710353,0.7661288618751637
35,J2,0.497345631101744,0.618511145604136,0.8376039819377257,0.6767283516436382,0.7994756604609816,0.7653335807738703
36,J2,0.4977632077849574,0.6182589846981151,0.8374338356331222,0.6764920907615432,0.7981265118505013,0.7646840493643872
37,J2,0.49798301532923084,0.6182926982252417,0.8374571947625304,0.6757259488329432,0.7950253677545893,0.765426370975225
38,J2,0.49716593483800653,0.6187019799325236,0.837649512534776,0.6765784860963111,0.7995744245683409,0.7633022342953076
39,J2,0.4972243530688418,0.6191362095346366,0.8381764527984186,0.6764886935733276,0.7978537460184885,0.7670965945996103
40,J2,0.4973890638437318,0.6188253921053629,0.8379167354804002,0.6769942212285582,0.7924993944333798,0.7701586712443166
41,J2,0.4971596204870496,0.6186441568651045,0.8382114891019137,0.6768609610979497,0.7950423116027165,0.7679317064118029
42,J2,0.4975984360865527,0.6186116078326132,0.837936958465044,0.6758374964694094,0.7998299209238381,0.7644984689616776
43,J2,0.4977470611444045,0.6187201248948371,0.8381585893652492,0.6766012493924729,0.7992958165846913,0.764405678760323
44,J2,0.4978566643486517,0.6190107557552754,0.8386522760093211,0.6765745887462665,0.8016682222197496,0.7647768395657418
45,J2,0.49731108455131645,0.6189372232210534,0.838907098191757,0.6766949008067918,0.8026431139756941,0.7657047415792892
46,J2,0.4983104349324645,0.6191260489177055,0.838878494245037,0.6766323986696512,0.8036521528249732,0.7645182577936248
47,J2,0.4984134485859866,0.6192362764850216,0.8389139946263746,0.6766712459705249,0.8028970195091354,0.7641273081562587
48,J2,0.4984550629800381,0.6196379364673044,0.8391221360809626,0.6773988922144417,0.8051363467921995,0.7637561473508397
49,J2,0.4987703816708337,0.6195490237367486,0.8391963380038798,0.6772478698170573,0.7996720807268735,0.767101213300753
50,J2,0.49851021856436206,0.6195631849757357,0.8393580783542838,0.6774124994739323,0.7953506470361348,0.7689523986267051
51,J2,0.49874164841086865,0.6200760372601593,0.8396945621422106,0.6779532053924913,0.8009322509170821,0.767189384800965
52,J2,0.49863469247566683,0.620070211053005,0.839852024951067,0.678504378022873,0.7992925071880068,0.7683028672172219
53,J3,0.49892135428030415,0.61981807114837,0.839443676112211,0.6784164565275036,0.8024385505490323,0.7661686925860629
54,J3,0.4989682909094633,0.6198289409644093,0.8394922485679174,0.6788703799083162,0.8009598725947877,0.7662131349791912
55,J3,0.49850197933053614,0.6204071462062072,0.8396701300443308,0.6791275062521982,0.8040289224808461,0.7643128885589682
56,J3,0.49874962738338097,0.61992849247322,0.8393569359093153,0.6786953783254916,0.8033557928076298,0.765055210169806
57,J3,0.49820635868443214,0.6202746649686084,0.8395844271376867,0.678620394553902,0.8070163231541854,0.7629210355386471
58,J3,0.49802233647092214,0.6203814884224489,0.8394095874767435,0.679217515089811,0.8058975060100467,0.7631994061427113
59,J3,0.4980718349147051,0.6205126845454989,0.8393924966826347,0.678979365075057,0.8042538077592797,0.7652407905725156
60,J3,0.49816243766494783,0.6202875734062079,0.8389766164880341,0.6787322398333947,0.8033814443070622,0.7649624199684514
61,J3,0.49783245113005675,0.6204595358449346,0.8391621988653657,0.6784532065134006,0.8025578423268426,0.7653335807738703
62,J3,0.49771567931216004,0.6205416275704488,0.8390790883545883,0.6788601031016497,0.8050660589299179,0.7633707342267356
63,J3,0.497832813314694,0.6203983615542289,0.8391565590821739,0.6787115099885845,0.8066272942830769,0.7629210355386471
