epoch,stage,pose_detect_norm_ratio_mean,shared_cosine_mean,samples
8,J1,3.7217447655041003,0.0989613266682499,5
9,J1,5.07637384855936,0.07999729226411428,5
10,J1,4.516241175038283,0.16242328829234512,4
11,J1,4.12042317266525,0.057649487204344256,5
12,J1,4.89079903627838,0.07747081956085305,4
13,J1,5.486851265149804,0.06172409906641034,5
14,J1,4.802840114940057,0.05799866344005777,5
15,J1,3.447045133030269,0.04206820288639041,4
16,J1,3.7241810930768438,0.05459548987478438,5
17,J1,1.9890073511880944,-0.006301232238688938,5
18,J1,2.0796312858845103,0.0493096724434294,4
19,J1,1.6881366881386826,-0.008414154415945178,5
20,J1,4.057008640994814,0.044677790003801024,5
21,J1,3.282084672618911,0.011389606314216792,4
22,J1,2.543844228711988,0.04531575640713993,5
23,J1,2.0196232750378655,0.004353007787746747,4
24,J1,3.0766526146204685,-0.008638067030177202,5
25,J1,3.5326705424086047,0.02364570206819665,5
26,J1,1.888621763724048,-0.0049012202047061465,4
27,J1,2.248935320571162,0.01899151458226285,5
28,J2,2.0885517653683943,-0.049366972407018206,5
29,J2,3.724426544704068,-0.01363264098753641,4
30,J2,1.2295317813231472,0.025092751999801634,5
31,J2,3.682299835242219,0.05126190614620895,4
32,J2,1.5595457286666712,0.06104840371518171,5
33,J2,2.0955047831922085,-0.0011562415453091966,5
34,J2,3.363434373415624,0.06144328192287651,4
35,J2,4.357357807220204,0.06422737606732047,5
36,J2,1.986426401804283,0.044176238152330315,5
37,J2,2.1537590561678615,0.017662129790028392,4
38,J2,1.4190607266038697,0.03777027112181883,5
39,J2,2.728982201833878,-0.011211550629885231,4
40,J2,4.50788676336859,0.01182392714984797,5
41,J2,1.476701335694683,-0.008364809777762447,5
42,J2,2.146160357052431,-0.03184610904819121,4
43,J2,1.59959382335577,0.05617865141439503,5
44,J2,0.6250313239473515,0.006364255490986275,5
45,J2,0.6397038976129265,0.0003581162523277311,4
46,J2,0.551763622860498,0.024437099068943167,5
47,J2,0.6317061961830294,-0.005976560423547459,5
48,J2,0.8728359622221107,0.006548449634980262,4
49,J2,0.71643029659927,0.03827068734290849,5
50,J2,0.6564906209906409,0.02664781023318234,4
51,J2,0.6263799495117109,0.017733301051565547,5
52,J2,0.7116645883113717,0.021427981165068586,5
53,J3,0.7345187017729781,0.05992761203002864,4
54,J3,0.8665494146630773,-0.05209711161019757,5
55,J3,0.7169053709566544,-0.008610744275046553,5
56,J3,0.6523654036070244,0.04331430291892493,4
57,J3,1.0037117778591502,0.028743835179699247,5
58,J3,0.624339245525138,0.0331282410979839,4
59,J3,0.711162682152001,0.03409968508978236,5
60,J3,0.6259407683171399,0.045983528357510656,5
61,J3,0.6272398703998621,0.05030330627380537,4
62,J3,0.5950016054478168,0.04573639616742895,5
63,J3,0.6463124397846203,0.030586666698391045,5
