epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2110.73,1.13918,1.18459,0.00723,0.7242,0.60958,0.66972,0.49722,1.06006,1.12339,0.00827,3.79914e-05,3.79914e-05,4.99887e-06,4.99887e-06,0.000189957,0.000189957,0.000379914,0.000379914
2,3939.68,1.13052,1.18799,0.00709,0.721,0.6077,0.66657,0.49508,1.06048,1.13255,0.00831,3.79828e-05,3.79828e-05,4.99773e-06,4.99773e-06,0.000189914,0.000189914,0.000379828,0.000379828
3,5767.93,1.12486,1.17964,0.00702,0.72375,0.6028,0.66325,0.4921,1.06377,1.13572,0.00836,3.79312e-05,3.79312e-05,4.99094e-06,4.99094e-06,0.000189656,0.000189656,0.000379312,0.000379312
4,7589.3,1.11858,1.1695,0.00699,0.72001,0.60336,0.6628,0.49243,1.06092,1.13818,0.00832,3.78452e-05,3.78452e-05,4.97964e-06,4.97964e-06,0.000189226,0.000189226,0.000378452,0.000378452
5,9406.36,1.1199,1.17394,0.00695,0.71761,0.60839,0.66575,0.49409,1.06056,1.13711,0.00831,3.77252e-05,3.77252e-05,4.96384e-06,4.96384e-06,0.000188626,0.000188626,0.000377252,0.000377252
6,11224.1,1.11756,1.16503,0.0069,0.71212,0.61255,0.66715,0.49549,1.05939,1.13503,0.00831,3.75713e-05,3.75713e-05,4.94359e-06,4.94359e-06,0.000187856,0.000187856,0.000375713,0.000375713
7,13035.4,1.11807,1.16053,0.00688,0.71717,0.61214,0.66776,0.49605,1.05915,1.13365,0.0083,3.73838e-05,3.73838e-05,4.91892e-06,4.91892e-06,0.000186919,0.000186919,0.000373838,0.000373838
8,14850.3,1.11269,1.15687,0.00691,0.71507,0.61407,0.66741,0.49541,1.05891,1.13496,0.00828,3.71631e-05,3.71631e-05,4.88988e-06,4.88988e-06,0.000185815,0.000185815,0.000371631,0.000371631
9,16666.6,1.11535,1.14997,0.00684,0.71873,0.61102,0.66808,0.49565,1.05896,1.13379,0.00827,3.69096e-05,3.69096e-05,4.85653e-06,4.85653e-06,0.000184548,0.000184548,0.000369096,0.000369096
10,18483.1,1.11517,1.14924,0.00686,0.71838,0.60998,0.66771,0.49567,1.05919,1.13385,0.0083,3.66239e-05,3.66239e-05,4.81894e-06,4.81894e-06,0.00018312,0.00018312,0.000366239,0.000366239
