epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,660.296,1.07076,1.10982,0.00562,0.72269,0.61631,0.67553,0.50531,1.06082,1.12554,0.00802,3.33288e-06,3.33288e-06,0.0666745
2,1293.94,1.0672,1.10086,0.00557,0.72063,0.61902,0.67654,0.50595,1.06013,1.12207,0.00794,5.34631e-06,5.34631e-06,0.0333432
3,1925.64,1.06567,1.09195,0.00553,0.72402,0.61636,0.67595,0.5059,1.05958,1.12211,0.00792,6.03973e-06,6.03973e-06,1.05485e-05
4,2542,1.06402,1.08857,0.00552,0.72493,0.61624,0.67704,0.50672,1.06029,1.12198,0.00792,4.06e-06,4.06e-06,4.06e-06
5,3163.9,1.06128,1.08452,0.00551,0.72707,0.61774,0.67647,0.50645,1.0598,1.1232,0.00792,2.08e-06,2.08e-06,2.08e-06
