candidate,region,status,training_only,changed_path_count,elapsed_seconds,detect_deployment_fraction,pose_deployment_fraction,local_worst_delta,global_worst_delta,global_gate_passed,profile_weighted_mae_vs_qsilu,profile_weighted_rmse_vs_qsilu,metric::coco/box/map50_95,local_delta::coco/box/map50_95,global_delta::coco/box/map50_95,metric::coco/person/box/map50_95,local_delta::coco/person/box/map50_95,global_delta::coco/person/box/map50_95,metric::bbat/box/map50_95,local_delta::bbat/box/map50_95,global_delta::bbat/box/map50_95,metric::bbat/pose/map50_95,local_delta::bbat/pose/map50_95,global_delta::bbat/pose/map50_95,metric::bbat/ball/box/map50_95,local_delta::bbat/ball/box/map50_95,global_delta::bbat/ball/box/map50_95,metric::bbat/bat/box/map50_95,local_delta::bbat/bat/box/map50_95,global_delta::bbat/bat/box/map50_95,metric::bbat/ball/pose/map50_95,local_delta::bbat/ball/pose/map50_95,global_delta::bbat/ball/pose/map50_95,metric::bbat/bat/pose/map50_95,local_delta::bbat/bat/pose/map50_95,global_delta::bbat/bat/pose/map50_95
hardswish,backbone_attention,reused,False,190,,0.008583690987124463,0.008456659619450317,-0.004707552844923135,-0.01351764898522495,True,0.04582290499644675,0.059785511442535626,0.49222527278048583,-0.003088125108140216,-0.006235024498729647,0.6183653892113532,-0.0013183448826054045,-0.001968268755412228,0.623215849010211,-0.002041607127752698,-0.006234701197650572,0.9033073380236256,0.001838835973709485,0.001205353239049911,0.4929624343521842,-0.004707552844923135,-0.01351764898522495,0.7534692636682381,0.0006243385894180165,0.0010482465899241955,0.8636878013137711,0.00658502615762091,0.006787370649117053,0.94292687473348,-0.00290735421020194,-0.0043766641710174525
hardswish,backbone_deep,reused,False,190,,0.07439198855507868,0.07329105003523609,-0.01836623606642407,-0.027176332206725884,False,0.03898759055520685,0.05252846986111879,0.48147363836074214,-0.01383975952788391,-0.01698665891847334,0.6150029361771445,-0.004680797916814083,-0.005330721789620907,0.6121970985414021,-0.013060357596561545,-0.01725345166645942,0.8859861121297369,-0.015482389920179251,-0.016115872654838825,0.47930375113068324,-0.01836623606642407,-0.027176332206725884,0.745090445952121,-0.007754479126699021,-0.007330571126192842,0.8401832356733119,-0.01691953948283831,-0.016717194991342166,0.9317889885861618,-0.014045240357520195,-0.015514550318335707
hardswish,backbone_early,reused,False,190,,0.5035765379113019,0.49612403100775193,-0.01768402083343179,-0.02083092022402122,False,0.04340618778986874,0.057201797042718404,0.47762937705519426,-0.01768402083343179,-0.02083092022402122,0.6125853317278502,-0.0070984023661083695,-0.007748326238915193,0.6210862684580549,-0.004171187679908761,-0.008364281749806635,0.8941755570193847,-0.007292945030531461,-0.007926427765191035,0.4944950067814865,-0.0031749804156208095,-0.011985076555922625,0.7476775301346233,-0.005167394944196713,-0.004743486943690534,0.8528829432410333,-0.004219831915116878,-0.004017487423620736,0.9354681707977364,-0.0103660581459456,-0.011835368106761113
hardswish,detect_one2many,reused,True,190,,0.0,0.0,0.0,-0.008810096140301815,True,0.047239910407928506,0.06040664927248172,0.49531339788862605,0.0,-0.0031468993905894305,0.6196837340939586,0.0,-0.0006499238728068235,0.6252574561379637,0.0,-0.004193094069897874,0.9014685020499161,0.0,-0.0006334827346595739,0.4976699871971073,0.0,-0.008810096140301815,0.7528449250788201,0.0,0.00042390800050617905,0.8571027751561502,0.0,0.00020234449149614253,0.945834228943682,0.0,-0.0014693099608155125
hardswish,detect_one2one,reused,False,190,,0.14234620886981403,0.0,-0.03215944966975581,-0.032809373542562636,False,0.04817307950852774,0.06164141756865965,0.4699307897367482,-0.025382608151877872,-0.028529507542467303,0.5875242844242028,-0.03215944966975581,-0.032809373542562636,0.6252574561379637,0.0,-0.004193094069897874,0.9014685020499161,0.0,-0.0006334827346595739,0.4976699871971073,0.0,-0.008810096140301815,0.7528449250788201,0.0,0.00042390800050617905,0.8571027751561502,0.0,0.00020234449149614253,0.945834228943682,0.0,-0.0014693099608155125
hardswish,masf,reused,False,190,,0.06866952789699571,0.06765327695560254,-0.003164189721338695,-0.010301152466345165,True,0.03682345611155388,0.05092468541632944,0.4951527098593649,-0.00016068802926116899,-0.0033075874198505995,0.6196118092665058,-7.192482745277395e-05,-0.0007218487002595975,0.6242412769446435,-0.0010161791933201991,-0.005209273263218073,0.8999524776311741,-0.0015160244187419902,-0.002149507153401564,0.49617893087106396,-0.0014910563260433496,-0.010301152466345165,0.7523036230182231,-0.0005413020605969932,-0.0001173940600908141,0.8539385854348115,-0.003164189721338695,-0.0029618452298425524,0.9459663698275367,0.00013214088385471445,-0.001337169076960798
hardswish,neck,reused,False,190,,0.19957081545064378,0.19661733615221988,-0.018178853766875114,-0.017754945766368935,False,0.04387357980951045,0.05761256166528969,0.48100074625510186,-0.014312651633524187,-0.017459551024113618,0.6071510176812692,-0.012532716412689382,-0.013182640285496205,0.6152053735722587,-0.010052082565705,-0.014245176635602874,0.8967433278042598,-0.004725174245656327,-0.005358656980315901,0.4957446758325725,-0.0019253113645348319,-0.010735407504836647,0.734666071311945,-0.018178853766875114,-0.017754945766368935,0.8483019694042582,-0.008800805751892016,-0.008598461260395873,0.9451846862042619,-0.0006495427394200837,-0.002118852700235596
hardswish,neck_attention,reused,False,190,,0.002861230329041488,0.0028188865398167725,-3.894284511296586e-05,-0.00858113800098148,True,0.02909522944301068,0.04790739493984061,0.4952744550435131,-3.894284511296586e-05,-0.0031858422357023963,0.6197649199247188,8.118583076022201e-05,-0.0005687380420466015,0.6253735230063496,0.00011606686838594449,-0.004077027201511929,0.901552794280237,8.429223032091482e-05,-0.0005491905043386591,0.49789894533642765,0.00022895813932033438,-0.00858113800098148,0.7528481006762715,3.175597451443579e-06,0.00042708359795762263,0.857271359616792,0.00016858446064182964,0.00037092895213797217,0.945834228943682,0.0,-0.0014693099608155125
hardswish,pose_flow,reused,True,190,,0.0,0.0,0.0,-0.008810096140301815,True,0.00611292552684919,0.009993479635406895,0.49531339788862605,0.0,-0.0031468993905894305,0.6196837340939586,0.0,-0.0006499238728068235,0.6252574561379637,0.0,-0.004193094069897874,0.9014685020499161,0.0,-0.0006334827346595739,0.4976699871971073,0.0,-0.008810096140301815,0.7528449250788201,0.0,0.00042390800050617905,0.8571027751561502,0.0,0.00020234449149614253,0.945834228943682,0.0,-0.0014693099608155125
hardswish,pose_one2many,reused,True,190,,0.0,0.0,0.0,-0.008810096140301815,True,0.030334707385076782,0.04403405091960847,0.49531339788862605,0.0,-0.0031468993905894305,0.6196837340939586,0.0,-0.0006499238728068235,0.6252574561379637,0.0,-0.004193094069897874,0.9014685020499161,0.0,-0.0006334827346595739,0.4976699871971073,0.0,-0.008810096140301815,0.7528449250788201,0.0,0.00042390800050617905,0.8571027751561502,0.0,0.00020234449149614253,0.945834228943682,0.0,-0.0014693099608155125
