epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3
1,3957.28,1.06774,0.9986,0.00688,0.70914,0.6194,0.67068,0.49658,1.063,1.12025,0.00831,0.000189974,0.000189974,0.000379949,0.000379949
2,6603.79,1.13173,1.15133,0.00682,0.70126,0.62181,0.67081,0.49969,1.05761,1.12054,0.00823,0.000187675,0.000187675,0.00037535,0.00037535
3,10470.6,1.12962,1.14508,0.00675,0.72014,0.61427,0.67196,0.50207,1.05427,1.11602,0.00821,0.000180928,0.000180928,0.000361857,0.000361857
4,14334.4,1.12656,1.14404,0.00674,0.72955,0.6105,0.67311,0.50322,1.0532,1.11316,0.0082,0.00017042,0.00017042,0.00034084,0.00034084
5,18161.7,1.12593,1.14197,0.00673,0.7262,0.61467,0.67412,0.50338,1.05179,1.11557,0.00819,0.000157178,0.000157178,0.000314357,0.000314357
6,21988.8,1.12305,1.13742,0.00671,0.73429,0.60871,0.67326,0.50257,1.05327,1.1146,0.00822,0.0001425,0.0001425,0.000285,0.000285
7,25819.5,1.11915,1.13288,0.00666,0.73833,0.60703,0.67329,0.5024,1.05149,1.11596,0.00817,0.000127822,0.000127822,0.000255643,0.000255643
8,29645.1,1.11655,1.12907,0.00664,0.72206,0.61538,0.67249,0.50164,1.05184,1.11554,0.00818,0.00011458,0.00011458,0.00022916,0.00022916
9,33497.9,1.11216,1.12244,0.00663,0.7208,0.61714,0.67371,0.50266,1.05141,1.11524,0.00817,0.000104072,0.000104072,0.000208143,0.000208143
