range,site,head,count,row_count,value_count,min,mean,std,exact_tail_probability_mass_mean,float_exp_mae,float_exp_max_error,bit_true_exp_mae,bit_true_exp_max_error,float_probability_mae,float_probability_max_error,bit_true_probability_mae,bit_true_probability_max_error,float_pv_mae,float_pv_max_error,float_pv_cosine_similarity,bit_true_pv_mae,bit_true_pv_max_error,bit_true_pv_cosine_similarity,ratio_lt_neg4,ratio_lt_neg6,ratio_lt_neg8,ratio_lt_neg10,percentile_0.1,percentile_1.0,percentile_5.0,percentile_25.0,percentile_50.0,percentile_75.0,percentile_95.0,percentile_99.0,percentile_99.9
neg8,model.10.m.0.attn,all,2073622244,6394340,409237760,-25.715576171875,-5.313126962856829,2.565543879861323,0.000863758078852401,0.0008216834304221008,0.02450692653656006,0.0008416767985665247,0.02603018283843994,3.52049033184667e-05,0.09380841255187988,3.560231124191507e-05,0.0935482382774353,0.0027318030361166675,0.8076171875,0.9999999875773337,0.0026725256592941287,0.8049850463867188,0.9999999878173241,0.6643747085498568,0.3526502554242469,0.14820398357956657,0.05082561315348236,-15.125,-12.375,-10.125,-6.875,-5.125,-3.375,-1.625,-0.625,-0.125
neg8,model.10.m.0.attn,0,518405561,1598585,102309440,-24.51171875,-4.351408768106947,2.017874563855922,0.00021959179657284717,0.0010766917052211047,0.02450692653656006,0.0011140922881940699,0.02603018283843994,2.838345511973085e-05,0.04906606674194336,2.8766530408386837e-05,0.048605382442474365,0.0014249921110168822,0.21218490600585938,0.999999990300862,0.001425388074876129,0.21158599853515625,0.9999999903929954,0.5303016010663513,0.18619161378942076,0.048437838806285494,0.01192491837486288,-13.375,-10.375,-7.875,-5.625,-4.125,-2.875,-1.375,-0.625,-0.125
neg8,model.10.m.0.attn,1,518405561,1598585,102309440,-21.62109375,-4.5403061435055285,2.1272156670011455,0.00031043189449684233,0.0010686902531787423,0.02450692653656006,0.0011040763340361133,0.02603018283843994,2.9030942808148675e-05,0.037294745445251465,2.9433256559018528e-05,0.03653717041015625,0.0017296370141007386,0.31841516494750977,0.999999991007131,0.0016997248089300418,0.3154635429382324,0.9999999910308075,0.5638637140314164,0.23086859401957688,0.0648037550662,0.013474969262530731,-12.625,-10.375,-8.375,-5.875,-4.375,-3.125,-1.375,-0.375,-0.125
neg8,model.10.m.0.attn,2,518405561,1598585,102309440,-25.715576171875,-6.2501016918669166,2.7218363016050993,0.0015482676268692515,0.0005825838527689765,0.024506866931915283,0.0005966207847464692,0.02603018283843994,4.2221991104378534e-05,0.09380841255187988,4.281681307402447e-05,0.0935482382774353,0.004679428615934965,0.8076171875,0.9999999869513969,0.004578382426055903,0.8049850463867188,0.9999999870948357,0.7857778092006231,0.5144291961019299,0.2537175252253901,0.09179798323961266,-15.625,-13.125,-10.875,-8.125,-6.125,-4.375,-2.125,-0.625,-0.125
neg8,model.10.m.0.attn,3,518405561,1598585,102309440,-25.126220703125,-6.110691247947925,2.6993740310035297,0.0013767409868721524,0.0005587679105195796,0.024506747722625732,0.0005519177872894454,0.02603018283843994,4.118322424160873e-05,0.09145236015319824,4.13926449262306e-05,0.09105724096298218,0.003093154403414087,0.6054229736328125,0.9999999820499447,0.0029866073273144356,0.6041102409362793,0.9999999827506582,0.7775557099010364,0.47911161778606,0.22585681522039075,0.08610458173692315,-16.125,-13.375,-10.875,-7.875,-5.875,-4.125,-2.125,-0.625,-0.125
neg8,model.22.m.0.1.attn,all,2073622244,6394340,409237760,-33.876953125,-6.084055906081694,3.1259361835918495,0.001446610867184631,0.0007240485727693586,0.024506866931915283,0.0007434704557384529,0.02603018283843994,4.6696051976042754e-05,0.12077200412750244,4.720261455551699e-05,0.12078851461410522,0.004117039246221718,1.0213966369628906,0.9999998814308437,0.004064439809416615,1.0208625793457031,0.9999998837039307,0.7203709929917206,0.4538803534362549,0.2461629341973822,0.11497552974745191,-18.625,-14.875,-11.875,-7.875,-5.625,-3.875,-1.875,-0.625,-0.125
neg8,model.22.m.0.1.attn,0,518405561,1598585,102309440,-19.17041015625,-3.915953517960285,1.7942626734044103,0.00010239603320858841,0.0013194207841088702,0.024506747722625732,0.0013651325580810122,0.02603018283843994,2.751541954793585e-05,0.023340821266174316,2.778937128502204e-05,0.022862255573272705,0.0009917367792951581,0.2024550437927246,0.9999999550635449,0.001011366791662897,0.20113277435302734,0.9999999541155142,0.4413920166261488,0.1175184924376226,0.025707436421578047,0.004504340183958791,-11.625,-9.125,-7.125,-4.875,-3.875,-2.625,-1.375,-0.375,-0.125
neg8,model.22.m.0.1.attn,1,518405561,1598585,102309440,-33.193359375,-6.69471333592058,3.120418786538982,0.0018038591679511752,0.0005501713731991003,0.024506866931915283,0.0005609737354899775,0.02603018283843994,5.07236517387693e-05,0.12077200412750244,5.128668665610925e-05,0.12078851461410522,0.004946662365399313,1.0213966369628906,0.9999998981585468,0.004868001795555493,1.0208625793457031,0.9999999004250062,0.8060004626377841,0.5533143499592976,0.3029665300986229,0.14017435858486094,-19.125,-15.625,-12.375,-8.625,-6.375,-4.375,-2.125,-0.625,-0.125
neg8,model.22.m.0.1.attn,2,518405561,1598585,102309440,-33.876953125,-7.290332813104225,3.369922513178187,0.002085913941065838,0.000508337943322966,0.024506866931915283,0.0005198896122617618,0.02603018283843994,6.200100896909008e-05,0.10987222194671631,6.263222767775632e-05,0.10978776216506958,0.005920611028669516,0.7626361846923828,0.9999998928248767,0.005851512533775834,0.7627534866333008,0.9999998946456579,0.8312568525861165,0.6158183997567109,0.3899123778882457,0.20762141477105026,-19.375,-16.125,-13.375,-9.375,-7.125,-4.875,-2.375,-0.875,-0.125
neg8,model.22.m.0.1.attn,3,518405561,1598585,102309440,-30.2236328125,-6.435223957341687,2.8497622650907943,0.0017942743228728884,0.0005182641904464976,0.024506866931915283,0.0005278859171210616,0.02603018283843994,4.654412764837585e-05,0.12025809288024902,4.7102172603180416e-05,0.12024104595184326,0.0046091468115228755,0.7758941650390625,0.9999997796764065,0.004526878116672232,0.7748985290527344,0.9999997856295443,0.8028346401168331,0.5288701715913885,0.2660653923810821,0.10760200544993768,-17.875,-14.375,-11.375,-8.125,-6.125,-4.375,-2.125,-0.875,-0.125
neg10,model.10.m.0.attn,all,2073622244,6394340,409237760,-25.715576171875,-5.313126962856829,2.565543879861323,0.000863758078852401,0.0007906269106821084,0.02450692653656006,0.0008111230241369529,0.02603018283843994,2.9194269355134272e-05,0.012861371040344238,2.9687990907187398e-05,0.009560823440551758,0.0017446247026654687,0.09574127197265625,0.9999999907581639,0.0016867922407260395,0.07386016845703125,0.9999999908380489,0.6643747085498568,0.3526502554242469,0.14820398357956657,0.05082561315348236,-15.125,-12.375,-10.125,-6.875,-5.125,-3.375,-1.625,-0.625,-0.125
