method,map50_95,map50,probability_mae,probability_max_error,pv_mae,pv_cosine_similarity,score_floor,segments,endpoint_storage_bits
Exact Softmax,0.5066576242111053,0.6771028060989519,0.0,0.0,0.0,1.0,none,none,0
Float PWL,0.5067302749183651,0.676996824975235,2.9813433817313077e-05,0.017094671726226807,0.0018029676442033492,0.999999983264341,-10.0,20,0
Q8.8 Bit-True PWL,0.5067368995935831,0.677047718215406,3.0326078395434124e-05,0.011443078517913818,0.0017198875107106053,0.9999999839289571,-10.0,20,336
