condition,images,gt_ball,tp_at_conf_iou50,recall_at_conf_iou50,precision_at_conf_iou50,fp_per_image_at_conf_iou50,ap50,ap50_95,full_tp,tp_retention,median_score_retention,lost_full_tp,rescued_target,recall_ci_low,recall_ci_high,retention_ci_low,retention_ci_high,delta_recall_vs_full,delta_full_ci_low,delta_full_ci_high,delta_recall_vs_r4,delta_r4_ci_low,delta_r4_ci_high
full_none,240.0,173.0,97.0,0.5606936416184971,0.6830985915492958,0.1875,0.5697105771075217,0.3264873259502553,97,1.0,1.0,0,0,0.4847860962566845,0.6373768472906404,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
r1_gray,240.0,173.0,45.0,0.26011560693641617,0.8653846153846154,0.029166666666666667,0.4792594988331881,0.2816146567549485,97,0.41237113402061853,0.0,57,5,0.18452380952380953,0.33513587763587765,0.2933993688639551,0.5258364131491927,-0.30057803468208094,-0.37575805119735756,-0.22579712847286967,0.0,0.0,0.0
r1_mean,240.0,173.0,78.0,0.4508670520231214,0.9629629629629629,0.0125,0.6375249066028863,0.34152374961398624,97,0.6288659793814433,0.8814184887520248,36,17,0.36585365853658536,0.5266101988899167,0.5263157894736842,0.7292067307692307,-0.10982658959537572,-0.1927710843373494,-0.02888941802417237,0.0,0.0,0.0
r2_gray,240.0,173.0,63.0,0.36416184971098264,0.8513513513513513,0.04583333333333333,0.4829236803289055,0.28213273699350855,97,0.6288659793814433,0.8161332007441283,36,2,0.2831163637601253,0.44565217391304346,0.5222101449275363,0.730787037037037,-0.19653179190751446,-0.2619047619047619,-0.13608904682274248,0.0,0.0,0.0
r2_mean,240.0,173.0,73.0,0.42196531791907516,0.8795180722891566,0.041666666666666664,0.5611985883934477,0.32046470302828295,97,0.711340206185567,0.9630500631447011,28,4,0.3411764705882353,0.5082013004853925,0.6086956521739131,0.8037428990287704,-0.13872832369942195,-0.20111897127367692,-0.08,0.0,0.0,0.0
r4_gray,240.0,173.0,81.0,0.4682080924855491,0.84375,0.0625,0.5596594320700883,0.3239701369468159,97,0.8041237113402062,0.9905918680534307,19,3,0.3817204016913319,0.5465116279069767,0.7065217391304348,0.8817228739002932,-0.09248554913294797,-0.14287852865697176,-0.04142011834319527,0.0,0.0,0.0
r4_mean,240.0,173.0,90.0,0.5202312138728323,0.8653846153846154,0.058333333333333334,0.6122314615934261,0.3558201006595274,97,0.865979381443299,1.0,13,6,0.44045826161790014,0.597959750601889,0.7911904761904761,0.9313725490196079,-0.04046242774566474,-0.0882483466759485,0.00574879711307137,0.0,0.0,0.0
r8_gray,240.0,173.0,93.0,0.5375722543352601,0.8691588785046729,0.058333333333333334,0.6246088894781022,0.34877807849181075,97,0.9072164948453608,1.0,9,5,0.45927810077519376,0.615842890490206,0.845360824742268,0.967391304347826,-0.023121387283236993,-0.06898556535685646,0.01685631308322224,0.06936416184971098,0.028897581556042787,0.11378958949570736
r8_mean,240.0,173.0,96.0,0.5549132947976878,0.8807339449541285,0.05416666666666667,0.6431100409960564,0.36167232366346685,97,0.9381443298969072,1.0,6,5,0.48214285714285715,0.6288796240145542,0.8854166666666666,0.9802028732284993,-0.005780346820809248,-0.04597701149425287,0.030120481927710843,0.03468208092485549,0.0,0.0755813953488372
