run,parent,table,denominator,epochs,map50_95,map50,map75,row_sum_max_error,overflow_rate,last_bucket_rate,max_distance,arithmetic_cost_proxy,memory_proxy
bdcn-v2-learn,v1-br,unconstrained-learned,exact,10,0.483280840,0.656455506,0.527090994,0.000000060,0.205165405,0.210539915,34.693359375,113030400,14387200
bdcn-v2-r1,bdcn-v2-learn,unconstrained-learned,reciprocal-lut,0,0.483499847,0.656842160,0.527586030,0.001960039,0.205146471,0.210519227,34.693359375,113008000,14387200
bdcn-v3-fixed,v1-br,fixed-exponential,exact,0,0.506566062,0.677050772,0.554964873,0.000000060,0.197186179,0.202422560,33.876953125,113030400,14387200
bdcn-v3-learn,v1-br,bounded-learned,exact,5,0.506468628,0.677037519,0.554673931,0.000000060,0.197677888,0.202928875,33.376953125,113030400,14387200
bdcn-v3-r1,bdcn-v3-learn,bounded-learned,reciprocal-lut,0,0.506561501,0.677044149,0.554459715,0.001951456,0.197674295,0.202924723,33.376953125,113008000,14387200
