path,region,format,granularity,elements,nrmse,cosine,estimated_packed_bytes,original_exact_zero_ratio,original_mean_absolute,original_maximum_absolute,original_standard_deviation,max_to_rms_proxy,quantized_zero_ratio
graph.model.0.conv,backbone_early,w8,per_output_channel,1728,0.004585222187925988,0.9999894367303274,1984,0.0,13.687975883483887,203.4578857421875,27.94068145751953,7.2817702046549115,0.016782406717538834
graph.model.0.conv,backbone_early,w7,per_output_channel,1728,0.01006171208556614,0.9999494064852221,1768,0.0,13.687975883483887,203.4578857421875,27.94068145751953,7.2817702046549115,0.04050925746560097
graph.model.0.conv,backbone_early,w6,per_output_channel,1728,0.019639761469346734,0.9998072491000225,1552,0.0,13.687975883483887,203.4578857421875,27.94068145751953,7.2817702046549115,0.08796296268701553
graph.model.0.conv,backbone_early,w5,per_output_channel,1728,0.043288560244583205,0.999062631396327,1336,0.0,13.687975883483887,203.4578857421875,27.94068145751953,7.2817702046549115,0.1840277761220932
graph.model.0.conv,backbone_early,w4,per_output_channel,1728,0.08833913635424107,0.9960905012860729,1120,0.0,13.687975883483887,203.4578857421875,27.94068145751953,7.2817702046549115,0.31307870149612427
graph.model.0.conv,backbone_early,fixed-sd4,per_output_channel,1728,0.15604648099623536,0.9877497497641483,1120,0.0,13.687975883483887,203.4578857421875,27.94068145751953,7.2817702046549115,0.03703703731298447
graph.model.0.conv,backbone_early,exact-ternary,per_tensor,1728,0.5599212326623815,0.8285459264298558,436,0.0,13.687975883483887,203.4578857421875,27.94068145751953,7.2817702046549115,0.8987268805503845
graph.model.0.conv,backbone_early,twn-v3,per_output_filter,1728,0.43157819382317875,0.9020755175989372,688,0.0,13.687975883483887,203.4578857421875,27.94068145751953,7.2817702046549115,0.5920138955116272
graph.model.0.conv,backbone_early,paper-twn-v2,per_tensor,1728,0.6833943962190674,0.7300493496240477,436,0.0,13.687975883483887,203.4578857421875,27.94068145751953,7.2817702046549115,0.6556712985038757
graph.model.1.conv,backbone_early,w8,per_output_channel,73728,0.015180130279778327,0.9998848625835708,74240,0.0,0.02330748178064823,0.5169411897659302,0.041291698813438416,12.515872446661874,0.0467393659055233
graph.model.1.conv,backbone_early,w7,per_output_channel,73728,0.030223802175681623,0.9995432223403933,65024,0.0,0.02330748178064823,0.5169411897659302,0.041291698813438416,12.515872446661874,0.0931532084941864
graph.model.1.conv,backbone_early,w6,per_output_channel,73728,0.0598857066341746,0.9982052390736413,55808,0.0,0.02330748178064823,0.5169411897659302,0.041291698813438416,12.515872446661874,0.1801079660654068
graph.model.1.conv,backbone_early,w5,per_output_channel,73728,0.11385786567649775,0.9934970119010528,46592,0.0,0.02330748178064823,0.5169411897659302,0.041291698813438416,12.515872446661874,0.3092719316482544
graph.model.1.conv,backbone_early,w4,per_output_channel,73728,0.2014789565259828,0.9794928742653167,37376,0.0,0.02330748178064823,0.5169411897659302,0.041291698813438416,12.515872446661874,0.4701198935508728
