epoch,worst_total_map50_delta,worst_total_map50_95_delta,deployment_gate
0,-0.018468095981591492,-0.02410115165210258,False
1,-0.008347308097677475,-0.011567125974855264,True
2,-0.009761823892291521,-0.011451437043318913,True
