epoch,metric,accepted,value,total_delta
0,bbat/ball/box/map50,0.9583825665067429,0.9701687963938828,0.011786229887139843
0,bbat/ball/box/map50_95,0.7790401822025378,0.7576569530719219,-0.021383229130615855
0,bbat/ball/pose/map50,0.9594888546060787,0.9701687963938828,0.01067994178780407
0,bbat/ball/pose/map50_95,0.9594888546060787,0.9701602265418291,0.010671371935750407
0,bbat/bat/box/map50,0.9940783404183501,0.9917748248753117,-0.0023035155430384258
0,bbat/bat/box/map50_95,0.8938446890698734,0.8792408169440467,-0.0146038721258267
0,bbat/bat/pose/map50,0.9940783404183501,0.9918915007695178,-0.0021868396488322617
0,bbat/bat/pose/map50_95,0.9940783404183501,0.9915928937741633,-0.0024854466441868173
0,bbat/box/map50,0.9762304534625466,0.9809718106345973,0.004741357172050709
0,bbat/box/map50_95,0.8364424356362056,0.8184488850079845,-0.017993550628221056
0,bbat/pose/map50,0.9767835975122143,0.9810301485817003,0.004246551069486015
0,bbat/pose/map50_95,0.9767835975122147,0.9808765601579962,0.004092962645781517
0,coco/box/map50,0.6707190071574208,0.6522509111758293,-0.018468095981591492
0,coco/box/map50_95,0.49802233647092214,0.47392118481881956,-0.02410115165210258
0,coco/person/box/map50,0.8394095874767435,0.830985713636554,-0.0084238738401895
0,coco/person/box/map50_95,0.6203814884224489,0.6033639106839954,-0.01701757773845347
1,bbat/ball/box/map50,0.9583825665067429,0.9716540692366583,0.013271502729915396
1,bbat/ball/box/map50_95,0.7790401822025378,0.7725241472925666,-0.006516034909971213
1,bbat/ball/pose/map50,0.9594888546060787,0.9716540692366583,0.012165214630579624
1,bbat/ball/pose/map50_95,0.9594888546060787,0.9714850520097654,0.011996197403686737
1,bbat/bat/box/map50,0.9940783404183501,0.9923024708769644,-0.001775869541385644
1,bbat/bat/box/map50_95,0.8938446890698734,0.8883142211508124,-0.005530467919060977
1,bbat/bat/pose/map50,0.9940783404183501,0.9924758381236995,-0.0016025022946505318
1,bbat/bat/pose/map50_95,0.9940783404183501,0.9921662278784348,-0.0019121125399153005
1,bbat/box/map50,0.9762304534625466,0.9819782700568114,0.005747816594264821
1,bbat/box/map50_95,0.8364424356362056,0.8304191842216895,-0.006023251414516095
1,bbat/pose/map50,0.9767835975122143,0.9820649536801789,0.005281356167964546
1,bbat/pose/map50_95,0.9767835975122147,0.9818256399441001,0.005042042431885441
1,coco/box/map50,0.6707190071574208,0.6623716990597434,-0.008347308097677475
1,coco/box/map50_95,0.49802233647092214,0.4864552104960669,-0.011567125974855264
1,coco/person/box/map50,0.8394095874767435,0.834405527172791,-0.005004060303952507
1,coco/person/box/map50_95,0.6203814884224489,0.6117342569660269,-0.008647231456421989
2,bbat/ball/box/map50,0.9583825665067429,0.9694371915874777,0.011054625080734737
2,bbat/ball/box/map50_95,0.7790401822025378,0.7731942743455524,-0.005845907856985355
2,bbat/ball/pose/map50,0.9594888546060787,0.9694371915874777,0.009948336981398964
2,bbat/ball/pose/map50_95,0.9594888546060787,0.9691826515795334,0.009693796973454738
2,bbat/bat/box/map50,0.9940783404183501,0.992416179621831,-0.001662160796519041
2,bbat/bat/box/map50_95,0.8938446890698734,0.8876634926675383,-0.006181196402335054
2,bbat/bat/pose/map50,0.9940783404183501,0.9926160529397526,-0.001462287478597446
2,bbat/bat/pose/map50_95,0.9940783404183501,0.992185336465292,-0.0018930039530581366
2,bbat/box/map50,0.9762304534625466,0.9809266856046543,0.004696232142107792
2,bbat/box/map50_95,0.8364424356362056,0.8304288835065454,-0.006013552129660149
2,bbat/pose/map50,0.9767835975122143,0.9810266222636151,0.004243024751400815
2,bbat/pose/map50_95,0.9767835975122147,0.9806839940224128,0.003900396510198134
2,coco/box/map50,0.6707190071574208,0.6609571832651293,-0.009761823892291521
2,coco/box/map50_95,0.49802233647092214,0.48657089942760323,-0.011451437043318913
2,coco/person/box/map50,0.8394095874767435,0.8348353873771213,-0.004574200099622283
2,coco/person/box/map50_95,0.6203814884224489,0.612965938456745,-0.007415549965703927
