model_id,architecture,stage,train_fraction,gate,bittrue_sha256,dataset,evaluator,scope,images,instances,precision,recall,f1,ap50,ap75,ap50_95,ap_s,ap_m,ap_l,ar100
full35-b-f03,full35,b,0.3,rollback,9eb84288e6594f980c301c57aff7c25b52c85e21f855a68e5b0f6ea63be5a7fb,coco2017-val,ultralytics-internal,baseball_bat,,,,,,,,0.47799333367509533,,,,
full35-b-f03,full35,b,0.3,rollback,9eb84288e6594f980c301c57aff7c25b52c85e21f855a68e5b0f6ea63be5a7fb,coco2017-val,canonical-coco-api,baseball_bat,97,146,,,,0.6941044230797186,0.5386478310366678,0.4794290926729072,0.5111787639514804,0.5236511608491892,0.006911395349046275,0.6820689655172413
full35-b-f03,full35,b,0.3,rollback,9eb84288e6594f980c301c57aff7c25b52c85e21f855a68e5b0f6ea63be5a7fb,coco2017-val,canonical-coco-api,overall,5000,36781,,,,0.679547560802274,0.5530143946574484,0.5057805705387838,0.346756433287066,0.5517507978262607,0.6480284740654944,0.7077009590809145
full35-b-f03,full35,b,0.3,rollback,9eb84288e6594f980c301c57aff7c25b52c85e21f855a68e5b0f6ea63be5a7fb,coco2017-val,canonical-coco-api,sports_ball,169,263,,,,0.7065389575272892,0.581757813893297,0.5142631288800656,0.4706370066038234,0.8502056169481742,0.6389279250505696,0.6207692307692307
full35-b-f03,full35,b,0.3,rollback,9eb84288e6594f980c301c57aff7c25b52c85e21f855a68e5b0f6ea63be5a7fb,bbt5-detect-valid,ultralytics-internal,overall,,,0.6865266880715905,0.6189450581737943,0.6509865910287755,,,,,,,
full35-b-f03,full35,b,0.3,rollback,9eb84288e6594f980c301c57aff7c25b52c85e21f855a68e5b0f6ea63be5a7fb,bbt5-detect-valid,ultralytics-internal,sports_ball,279,301,0.5566722729642475,0.6132354604964649,0.5835864964274262,0.5844910518731187,0.26787226687278853,0.30866757874100914,,,,
full35-b-f03,full35,b,0.3,rollback,9eb84288e6594f980c301c57aff7c25b52c85e21f855a68e5b0f6ea63be5a7fb,bbt5-detect-valid,ultralytics-internal,baseball_bat,480,484,0.8163811031789334,0.6246546558511238,0.707763501153979,0.6965732904428307,0.5259571059057404,0.4652063218252824,,,,
full35-c-f03,full35,c,0.3,rollback,8cfdb532599c27ded718ef27a1b504a5716875bdea9777b875103948a672fe5a,coco2017-val,ultralytics-internal,overall,,,,0.6137619967466513,,0.6707373348180722,0.5441524400162756,0.4971468268656683,0.3454273607945253,0.5462708228626306,0.6481159011540727,
full35-c-f03,full35,c,0.3,rollback,8cfdb532599c27ded718ef27a1b504a5716875bdea9777b875103948a672fe5a,coco2017-val,ultralytics-internal,sports_ball,,,,,,,,0.5099814221678574,,,,
full35-c-f03,full35,c,0.3,rollback,8cfdb532599c27ded718ef27a1b504a5716875bdea9777b875103948a672fe5a,coco2017-val,ultralytics-internal,baseball_bat,,,,,,,,0.47300886149484755,,,,
full35-c-f03,full35,c,0.3,rollback,8cfdb532599c27ded718ef27a1b504a5716875bdea9777b875103948a672fe5a,coco2017-val,canonical-coco-api,baseball_bat,97,146,,,,0.7152510283766269,0.5117973849716468,0.4747369630430341,0.5107272283560288,0.5039632077105333,0.015764841329894152,0.6917241379310346
full35-c-f03,full35,c,0.3,rollback,8cfdb532599c27ded718ef27a1b504a5716875bdea9777b875103948a672fe5a,coco2017-val,canonical-coco-api,overall,5000,36781,,,,0.6786304147944031,0.5501287094693141,0.5031992378889334,0.3454273607945253,0.5462708228626306,0.6481159011540727,0.7084965576541657
full35-c-f03,full35,c,0.3,rollback,8cfdb532599c27ded718ef27a1b504a5716875bdea9777b875103948a672fe5a,coco2017-val,canonical-coco-api,sports_ball,169,263,,,,0.7072457702659571,0.5815262879932654,0.514994687058652,0.47299755377928554,0.8549383452904087,0.6372435069593916,0.6226923076923077
full35-c-f03,full35,c,0.3,rollback,8cfdb532599c27ded718ef27a1b504a5716875bdea9777b875103948a672fe5a,bbt5-detect-valid,ultralytics-internal,overall,,,0.6639784379806482,0.6561187227149172,0.6600251824018217,,,,,,,
full35-c-f03,full35,c,0.3,rollback,8cfdb532599c27ded718ef27a1b504a5716875bdea9777b875103948a672fe5a,bbt5-detect-valid,ultralytics-internal,sports_ball,279,301,0.540348807247662,0.6345514950166113,0.5836735981915204,0.5868554728711337,0.26520742781806955,0.3096761270573285,,,,
full35-c-f03,full35,c,0.3,rollback,8cfdb532599c27ded718ef27a1b504a5716875bdea9777b875103948a672fe5a,bbt5-detect-valid,ultralytics-internal,baseball_bat,480,484,0.7876080687136343,0.6776859504132231,0.728523989905282,0.7360419779149673,0.5868118961386155,0.515345213510588,,,,
full35-b-f10,full35,b,1.0,rollback,a8780ae988e61905fa78134b16bf362d2392d2a71f43941f770769bd42265cae,coco2017-val,ultralytics-internal,overall,,,,0.6169730097225762,,0.6743686464750798,0.551728100237385,0.5035027108346335,0.3475507450942734,0.5550722880684692,0.6556759918233048,
full35-b-f10,full35,b,1.0,rollback,a8780ae988e61905fa78134b16bf362d2392d2a71f43941f770769bd42265cae,coco2017-val,ultralytics-internal,sports_ball,,,,,,,,0.5160574642449893,,,,
full35-b-f10,full35,b,1.0,rollback,a8780ae988e61905fa78134b16bf362d2392d2a71f43941f770769bd42265cae,coco2017-val,ultralytics-internal,baseball_bat,,,,,,,,0.467346735096634,,,,
full35-b-f10,full35,b,1.0,rollback,a8780ae988e61905fa78134b16bf362d2392d2a71f43941f770769bd42265cae,coco2017-val,canonical-coco-api,baseball_bat,97,146,,,,0.689410914002731,0.5150702870536201,0.4682817587157472,0.5130198096420265,0.5055550789199579,0.011349837711183575,0.6834482758620689
full35-b-f10,full35,b,1.0,rollback,a8780ae988e61905fa78134b16bf362d2392d2a71f43941f770769bd42265cae,coco2017-val,canonical-coco-api,overall,5000,36781,,,,0.6822442273506921,0.5575588692247893,0.5095056372583652,0.3475507450942734,0.5550722880684692,0.6556759918233048,0.7097945178934333
full35-b-f10,full35,b,1.0,rollback,a8780ae988e61905fa78134b16bf362d2392d2a71f43941f770769bd42265cae,coco2017-val,canonical-coco-api,sports_ball,169,263,,,,0.7076239867751145,0.5832549263580881,0.5187637421746035,0.47555784904643145,0.8533110478018672,0.6433674012562546,0.6157692307692307
full35-b-f10,full35,b,1.0,rollback,a8780ae988e61905fa78134b16bf362d2392d2a71f43941f770769bd42265cae,bbt5-detect-valid,ultralytics-internal,overall,,,0.6453186675120994,0.6606971252848631,0.6529173550111668,,,,,,,
full35-b-f10,full35,b,1.0,rollback,a8780ae988e61905fa78134b16bf362d2392d2a71f43941f770769bd42265cae,bbt5-detect-valid,ultralytics-internal,sports_ball,279,301,0.5209856297647104,0.6478405315614618,0.57752918011298,0.5766976516930868,0.28445801908052076,0.3113254982888557,,,,
full35-b-f10,full35,b,1.0,rollback,a8780ae988e61905fa78134b16bf362d2392d2a71f43941f770769bd42265cae,bbt5-detect-valid,ultralytics-internal,baseball_bat,480,484,0.7696517052594885,0.6735537190082644,0.7184032982437071,0.7295217639611671,0.5594565857152363,0.4971786217567368,,,,
full35-c-f10,full35,c,1.0,rollback,5996dbc49cfb44f5f13ed60908cf2fd9c29144666967a08cf49a5c8e428d2b85,coco2017-val,ultralytics-internal,overall,,,,0.6125221840391173,,0.6717525604087504,0.5493737744093471,0.5013946996070097,0.3454741619333584,0.5527828551291378,0.6462020358270963,
full35-c-f10,full35,c,1.0,rollback,5996dbc49cfb44f5f13ed60908cf2fd9c29144666967a08cf49a5c8e428d2b85,coco2017-val,ultralytics-internal,sports_ball,,,,,,,,0.51267248532084,,,,
full35-c-f10,full35,c,1.0,rollback,5996dbc49cfb44f5f13ed60908cf2fd9c29144666967a08cf49a5c8e428d2b85,coco2017-val,ultralytics-internal,baseball_bat,,,,,,,,0.4788531872509732,,,,
full35-c-f10,full35,c,1.0,rollback,5996dbc49cfb44f5f13ed60908cf2fd9c29144666967a08cf49a5c8e428d2b85,coco2017-val,canonical-coco-api,baseball_bat,97,146,,,,0.693572686063981,0.54163250622518,0.4804574608876652,0.5150411037967845,0.5154970615745601,0.005008005513586752,0.6910344827586206
full35-c-f10,full35,c,1.0,rollback,5996dbc49cfb44f5f13ed60908cf2fd9c29144666967a08cf49a5c8e428d2b85,coco2017-val,canonical-coco-api,overall,5000,36781,,,,0.6794714045157414,0.5551093987736334,0.5071504614433096,0.3454741619333584,0.5527828551291378,0.6462020358270963,0.7085927405825367
full35-c-f10,full35,c,1.0,rollback,5996dbc49cfb44f5f13ed60908cf2fd9c29144666967a08cf49a5c8e428d2b85,coco2017-val,canonical-coco-api,sports_ball,169,263,,,,0.7046354882151089,0.5808704734009468,0.5156207810779861,0.4733134999902509,0.8507071061202497,0.6399079381622372,0.6215384615384616
full35-c-f10,full35,c,1.0,rollback,5996dbc49cfb44f5f13ed60908cf2fd9c29144666967a08cf49a5c8e428d2b85,bbt5-detect-valid,ultralytics-internal,overall,,,0.7023859571532475,0.6276635769221617,0.6629258098318437,,,,,,,
full35-c-f10,full35,c,1.0,rollback,5996dbc49cfb44f5f13ed60908cf2fd9c29144666967a08cf49a5c8e428d2b85,bbt5-detect-valid,ultralytics-internal,sports_ball,279,301,0.5670945376442175,0.5962362447534144,0.5813003879228398,0.5748717557240348,0.2729915876350033,0.3091752253897223,,,,
full35-c-f10,full35,c,1.0,rollback,5996dbc49cfb44f5f13ed60908cf2fd9c29144666967a08cf49a5c8e428d2b85,bbt5-detect-valid,ultralytics-internal,baseball_bat,480,484,0.8376773766622775,0.6590909090909091,0.737730146963134,0.7315557144233307,0.5702978668359426,0.5005112135458839,,,,
partial75-a2,partial75,a2,,retained,aa878765518efa6a3801c03e39ce5a3d78bea0fa09c70a3cbd41a83f7c6b77e8,coco2017-val,ultralytics-internal,overall,,,,0.6203587307192543,,0.6771173033193066,0.5545770005115477,0.5067544912590529,0.35461607520828775,0.55687199451628,0.658639574860129,
partial75-a2,partial75,a2,,retained,aa878765518efa6a3801c03e39ce5a3d78bea0fa09c70a3cbd41a83f7c6b77e8,coco2017-val,ultralytics-internal,sports_ball,,,,,,,,0.5154387442727641,,,,
partial75-a2,partial75,a2,,retained,aa878765518efa6a3801c03e39ce5a3d78bea0fa09c70a3cbd41a83f7c6b77e8,coco2017-val,ultralytics-internal,baseball_bat,,,,,,,,0.48695110108528566,,,,
partial75-a2,partial75,a2,,retained,aa878765518efa6a3801c03e39ce5a3d78bea0fa09c70a3cbd41a83f7c6b77e8,coco2017-val,canonical-coco-api,baseball_bat,97,146,,,,0.7120928191261156,0.5291253226951836,0.4886606392109285,0.5114508024449217,0.5483908930213046,0.01065604205751555,0.6882758620689655
partial75-a2,partial75,a2,,retained,aa878765518efa6a3801c03e39ce5a3d78bea0fa09c70a3cbd41a83f7c6b77e8,coco2017-val,canonical-coco-api,overall,5000,36781,,,,0.6848114403338108,0.5600861364106079,0.5126887795127215,0.35461607520828775,0.55687199451628,0.658639574860129,0.7130891277526223
partial75-a2,partial75,a2,,retained,aa878765518efa6a3801c03e39ce5a3d78bea0fa09c70a3cbd41a83f7c6b77e8,coco2017-val,canonical-coco-api,sports_ball,169,263,,,,0.7099405095501736,0.5756992646635375,0.5188192774335422,0.4774225324410649,0.8447583334161929,0.6295379537953795,0.6188461538461538
partial75-a2,partial75,a2,,retained,aa878765518efa6a3801c03e39ce5a3d78bea0fa09c70a3cbd41a83f7c6b77e8,bbt5-detect-valid,ultralytics-internal,overall,,,0.6912006941156476,0.629804920238324,0.6590760755230711,,,,,,,
partial75-a2,partial75,a2,,retained,aa878765518efa6a3801c03e39ce5a3d78bea0fa09c70a3cbd41a83f7c6b77e8,bbt5-detect-valid,ultralytics-internal,sports_ball,279,301,0.5758950364642025,0.6046511627906976,0.5899228741124184,0.5841499993874566,0.27206185959574025,0.31367175984405915,,,,
