model_id,architecture,stage,train_fraction,physical_batch,nbs,effective_batch,workers,patience,completed_epochs,best_epoch,best_validation_map50_95_during_training,final_epoch_map50_95,final_bittrue_coco_map50_95,gate,elapsed_seconds,mean_epoch_seconds,alpha,contains_nan_or_inf,minimum_available_ram_bytes,minimum_free_vram_bytes,maximum_process_pss_bytes,peak_vram_allocated_bytes,configured_ram_fail_floor_bytes,configured_vram_fail_floor_bytes,telemetry_samples,oom
full35-b-f03,full35,b,0.3,16,16,16,6,4,5,1,0.49961,0.49132,0.49950444563093044,rollback,2634.802248614,526.9604497227999,0.1661376953125,False,8150220800,7214202880,4369608704,6168276992,1610612736,1073741824,141,False
full35-c-f03,full35,c,0.3,8,16,16,6,9,10,1,0.49731,0.49452,0.4971468268656683,rollback,18778.200038908,1877.8200038907999,0.194580078125,False,9296125952,4689231872,4112905216,5639433216,1610612736,1073741824,466,False
full35-b-f10,full35,b,1.0,16,16,16,6,4,9,5,0.50338,0.50266,0.5035027108346335,rollback,33597.97278205,3733.108086894444,0.1031494140625,False,7745658880,2608295936,4069476352,6168280576,1610612736,1073741824,787,False
full35-c-f10,full35,c,1.0,8,16,16,6,7,10,3,0.50152,0.49895,0.5013946996070097,rollback,57580.466660909995,5758.046666091,0.113525390625,False,8682319872,5951717376,3816762368,5598831104,536870912,1073741824,1501,False
partial75-b-f03,partial75,b,0.3,16,16,16,6,4,5,1,0.49859,0.49307,0.4982864460951055,rollback,6300.062409579999,1260.0124819159998,-0.327880859375,False,8196337664,5825888256,4646325248,5852638208,1610612736,1073741824,123,False
partial75-c-f03,partial75,c,0.3,8,16,16,6,9,10,1,0.49722,0.49567,0.497261550897957,rollback,18572.731791117996,1857.2731791117997,-0.353271484375,False,9156304896,5710544896,4344582144,5475144704,1610612736,1073741824,466,False
partial75-b-f10,partial75,b,1.0,16,16,16,6,4,7,3,0.50385,0.50205,0.5040094609568293,rollback,26191.775679331004,3741.682239904429,-0.17626953125,False,7988125696,7325351936,4426967040,5849251328,1610612736,1073741824,534,False
partial75-c-f10,partial75,c,1.0,8,16,16,6,7,11,4,0.50046,0.49957,0.5004282490623231,rollback,64040.910855454014,5821.900986859456,-0.1351318359375,False,8912220160,2533208064,4081674240,5436612096,536870912,1073741824,1651,False
