epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3
1,1271.48,1.07024,1.00162,0.007,0.72958,0.60966,0.67077,0.49859,1.05915,1.12445,0.00829,0.000189914,0.000189914,0.000379829,0.000379829
2,2504.25,1.07491,1.0047,0.00701,0.71585,0.61049,0.66736,0.49412,1.06978,1.13066,0.00838,0.000187675,0.000187675,0.00037535,0.00037535
3,3739.2,1.07583,0.9976,0.00697,0.7215,0.60835,0.66602,0.49182,1.06842,1.14094,0.00837,0.000180928,0.000180928,0.000361857,0.000361857
4,4971.89,1.0748,0.99136,0.00694,0.72691,0.60539,0.66527,0.49322,1.06751,1.13698,0.00838,0.00017042,0.00017042,0.00034084,0.00034084
5,6209.38,1.06876,0.98506,0.00693,0.72946,0.60096,0.66558,0.49307,1.06659,1.13615,0.00835,0.000157178,0.000157178,0.000314357,0.000314357
