split,name,map50_95,map50,map75,ap_s,ap_m,ap_l,ball_ap,ball_ap_s,ball_recall,bat_ap,ball_fp,bat_fp
val,b0-original-3scale,0.7508155882154294,0.9901395063481767,0.8271572467507845,0.6462799718489881,0.843560743331898,0.916396318203249,0.6325389319687482,0.6142630971273808,0.9903381642512077,0.8690922444621106,579,344
val,p2-base-direct,0.7133618714931123,0.9855307567992756,0.7439764741700494,0.5893246928252588,0.8199616396929693,0.957062785225891,0.5665643144586946,0.5436650954918686,0.9855072463768116,0.86015942852753,1205,1552
val,p2-control-full,0.7163785764707099,0.9822554926294998,0.7839250189624937,0.596794232433465,0.8224910265389316,0.9500645716745588,0.5755074282971966,0.5555323082452607,0.9806763285024155,0.8572497246442232,1497,1602
val,p2-control-head,0.7144147445971151,0.9857334679326147,0.7480198775134111,0.5907812332282621,0.8199616396929693,0.957062785225891,0.5686700606667,0.5465781762978754,0.9855072463768116,0.86015942852753,1844,2058
val,p2-lite-35,0.7165809264793921,0.9807118680169592,0.7700130861401693,0.5869306650303537,0.8284347189701041,0.9504950495049505,0.5776795687513075,0.5611018555095926,0.9975845410628019,0.8554822842074765,2986,1490
val,p2-lite-35-f7,0.7100823817885441,0.9686722699822816,0.7819212756970564,0.5830572970243709,0.8426316857414635,0.9452970297029702,0.5586172596758368,0.5384165716572522,0.9879227053140096,0.8615475039012513,4854,1383
val,p2-paperformula-full,0.7165555484183065,0.9815646503252791,0.7777696997290938,0.5844318055267649,0.8125819902084656,0.9377652050919377,0.5770139960397832,0.5634434987652649,0.9830917874396136,0.8560971007968298,4091,1958
val,p2-partial25-35,0.7090679618238818,0.9826282122554485,0.7645678156406093,0.5852276561023426,0.8188181322245541,0.9435049274158185,0.5568071858100089,0.5351251290791166,0.9879227053140096,0.8613287378377547,1529,1636
val,p2-partial50-35,0.7099803809319295,0.9713081203711451,0.7658876243185203,0.5896734249348355,0.8286431618357856,0.9281118881118882,0.5637644851885284,0.5430025489625968,0.9782608695652174,0.8561962766753305,1897,2004
val,p3-lite-35,0.705103711932069,0.9835398586581728,0.734492482544594,0.5796873388322442,0.8272675675927212,0.9280115511551155,0.5628012106495955,0.5433052852731187,0.9879227053140096,0.8474062132145423,1924,7448
val,p3-lite-35-f7,0.7105169949021205,0.9807525308244617,0.7727720958405909,0.5990801259795562,0.8108402158076156,0.8923492349234923,0.5671976279467851,0.5468337023601677,0.9830917874396136,0.8538363618574561,838,876
val,p3-paperformula-full,0.712204693173196,0.9801536561732627,0.7757452941082076,0.6047511486532854,0.8244853277111474,0.8803394625176804,0.5670142570966813,0.5506073189560589,0.9855072463768116,0.8573951292497105,754,1124
val,p3-partial25-35,0.7307475598843729,0.9802309191015091,0.7992090388101668,0.6129323117351806,0.8493661795791438,0.9548550212164074,0.5993144554220693,0.5809806831157496,0.9903381642512077,0.8621806643466765,935,1341
val,p3-partial50-35,0.7408867129785709,0.9815975771111081,0.8260119414086865,0.6513204290002952,0.844476914367524,0.9398161244695898,0.6185242364567854,0.6031609471628727,0.9830917874396136,0.8632491895003561,1968,2210
test,b0-original-3scale,0.7708117389613107,0.9383343819518823,0.8395268773558017,0.5951691002657802,0.8790663742267516,0.8537234888404717,0.6784442676415715,0.47217810744165256,0.9662027833001988,0.86317921028105,1204,485
test,p2-base-direct,0.7391140286937579,0.9250537080080649,0.7998266265349678,0.5484655081695791,0.8483435001429774,0.8218329295178769,0.6276602853818719,0.4346450778295078,0.9681908548707754,0.8505677720056436,2968,2495
test,p2-control-full,0.7472402960066145,0.939040814154763,0.8114022471002094,0.5628344491212453,0.8560952985816876,0.8319796279854215,0.6455972441186499,0.46120946441971566,0.9880715705765407,0.8488833478945788,3956,2235
test,p2-control-head,0.7432685934332336,0.9316902293747539,0.8027770951653321,0.5577519866108362,0.8483435001429774,0.8218329295178769,0.6358596131404217,0.4530560864936181,0.9860834990059643,0.8506775737260454,4015,2803
test,p2-lite-35,0.7394761740845472,0.930978552805702,0.796506688788555,0.5430056583964397,0.8479170282876366,0.827502552794205,0.6371682664403044,0.4308187561771775,0.9860834990059643,0.8417840817287899,6841,2524
test,p2-lite-35-f7,0.7366305293262545,0.9293529173734084,0.8069744833894418,0.5305590270892159,0.8340627467276559,0.8238710240563021,0.6242304292745724,0.3975125732173708,0.9761431411530815,0.8490306293779366,9549,2827
