phase,id,status,passed,worst_delta,coco/box/map50_95,delta/coco/box/map50_95,coco/person/box/map50_95,delta/coco/person/box/map50_95,bbat/box/map50_95,delta/bbat/box/map50_95,bbat/pose/map50_95,delta/bbat/pose/map50_95,bbat/ball/box/map50_95,delta/bbat/ball/box/map50_95,bbat/bat/box/map50_95,delta/bbat/bat/box/map50_95,bbat/ball/pose/map50_95,delta/bbat/ball/pose/map50_95,bbat/bat/pose/map50_95,delta/bbat/bat/pose/map50_95
baseline,full35-j3-best-joint-bittrue-epoch58,accepted,True,0.0,0.49802233647092214,0.0,0.6203814884224489,0.0,0.6300355217570656,0.0,0.9037171741129448,0.0,0.5074370361873287,0.0,0.7526340073268026,0.0,0.8599087151917765,0.0,0.9475256330341134,0.0
uniform_zero_shot,hardswish,completed,False,-0.1762295446388269,0.42032409795043457,-0.07769823852048757,0.5517377520541925,-0.06864373636825638,0.4707030234646493,-0.15933249829241625,0.8764648245993014,-0.027252349513643415,0.36500158424132295,-0.14243545194600576,0.5764044626879757,-0.1762295446388269,0.819726647896806,-0.040182067294970425,0.933203001301797,-0.014322631732316404
uniform_zero_shot,poly_quality,completed,True,-0.005500681158339238,0.4981452508211959,0.00012291435027372843,0.6200295533805322,-0.00035193504191666225,0.6252375553968486,-0.00479796636021701,0.9025430062093683,-0.0011741679035764951,0.5033417846252338,-0.004095251562094893,0.7471333261684634,-0.005500681158339238,0.8591672551581734,-0.0007414600336030919,0.9459187572605634,-0.0016068757735500094
uniform_zero_shot,poly_shift,completed,False,-0.022064204654180797,0.49570547408647514,-0.002316862384447005,0.6175363570971775,-0.0028451313252714217,0.6117083086078318,-0.0183272131492338,0.8961597218030558,-0.007557452309889023,0.4853728315331479,-0.022064204654180797,0.7380437856825155,-0.014590221644287138,0.8472065598603434,-0.01270215533143304,0.9451128837457684,-0.0024127492883450063
uniform_zero_shot,qsilu_pq,completed,True,-0.01309105300758484,0.49527191089903366,-0.002750425571888482,0.618593994855434,-0.0017874935670149084,0.62210227901215,-0.00793324274491558,0.8974452543245801,-0.0062719197883647215,0.4943459831797439,-0.01309105300758484,0.7498585748445562,-0.0027754324822464316,0.8469039799478619,-0.013004735243914545,0.9479865287012981,0.0004608956671846576
uniform_zero_shot,relu,completed,False,-0.9475256330341134,0.0,-0.49802233647092214,0.0,-0.6203814884224489,0.0,-0.6300355217570656,0.0,-0.9037171741129448,0.0,-0.5074370361873287,0.0,-0.7526340073268026,0.0,-0.8599087151917765,0.0,-0.9475256330341134
short_recovery,short-recovery-uniform-qsilu-pq,completed,True,-0.008635405318129619,0.49527289402828617,-0.0027494424426359743,0.6195050291466695,-0.0008764592757793954,0.6257507805406011,-0.004284741216464494,0.9019860182143556,-0.0017311558985891873,0.4988016308691991,-0.008635405318129619,0.752699930212003,6.59228852003535e-05,0.8582063510224055,-0.0017023641693709735,0.9457656854063062,-0.001759947627807179
short_recovery,short-recovery-uniform-hardswish,completed,False,-0.016884422501412644,0.48386136020728654,-0.014160976263635605,0.6082701064494129,-0.012111381973035962,0.618224048559515,-0.011811473197550604,0.898518730919022,-0.005198443193922819,0.49817451001127955,-0.009262526176049168,0.7382735871077502,-0.014360420219052483,0.8663962513053433,0.006487536113566783,0.9306412105327008,-0.016884422501412644
short_recovery,short-recovery-uniform-poly-shift,completed,False,-0.03013808101441856,0.49254494268112287,-0.005477393789799279,0.6181183263997257,-0.002263162022723142,0.613395526848708,-0.016639994908357547,0.8892029713876042,-0.014514202725340652,0.47729895517291016,-0.03013808101441856,0.7494920985245057,-0.003141908802296922,0.8397799853148717,-0.020128729876904727,0.9386259574603372,-0.008899675573776245
short_recovery,short-recovery-uniform-poly-quality,completed,False,-0.020969880945195307,0.4967545008008015,-0.0012678356701206206,0.6200744758996068,-0.00030701252284204283,0.6177724340005636,-0.012263087756501978,0.8980357406688982,-0.005681433444046591,0.4864671552421334,-0.020969880945195307,0.7490777127589936,-0.0035562945678090374,0.8532011770179417,-0.006707538173834737,0.9428703043198542,-0.0046553287142592215
finalist_seed1,finalist-seed1-silu-control,completed,True,-0.012871507949098415,0.48968803034279573,-0.008334306128126412,0.6175799312841785,-0.0028015571382703497,0.6196198042258172,-0.01041571753124837,0.8999259956629861,-0.0037911784499586876,0.4945655282382303,-0.012871507949098415,0.744674080213404,-0.007959927113398657,0.8551697661281871,-0.004738949063589404,0.9446822251977853,-0.0028434078363280824
finalist_seed1,finalist-seed1-qsilu-pq,stopped_by_user_after_epoch_1_and_epoch_2_macro_106,False,-0.01596629449486242,0.494248489752446,-0.003773846718476137,0.6191839640394455,-0.0011975243830033566,0.6205223826873926,-0.009513139069672993,0.8977549806099333,-0.005962193503011526,0.4914707416924663,-0.01596629449486242,0.7495740236823187,-0.003059983644483899,0.8455549325510712,-0.014353782640705304,0.9499550286687954,0.00242939563468203
