split,experiment,comparison_tier,seeds,map50_95_mean,map50_95_std,map50_mean,map50_std,map75_mean,map75_std,ap_s_mean,ap_s_std,ap_m_mean,ap_m_std,ap_l_mean,ap_l_std,ball_ap_mean,ball_ap_std,ball_ap_s_mean,ball_ap_s_std,ball_recall_mean,ball_recall_std,bat_ap_mean,bat_ap_std,tiny_ball_recall_mean,tiny_ball_recall_std,small_ball_recall_mean,small_ball_recall_std,large_ball_recall_mean,large_ball_recall_std
val,B0-Clean,strict_fair,"42,43",0.46069621472852906,0.01995056987182656,0.6907513513575387,0.07609567532100767,0.5151414595613437,0.0479945371890998,0.24724104287027798,0.03167015683566889,0.7051607266562454,0.016921195727102007,0.8983916083916084,0.04302076235991438,0.2649870552716618,0.07677183928549507,0.2338662088813872,0.09466294427690003,0.6026570048309179,0.23399427300134543,0.6564053741853964,0.03687069954184184,0.6578947368421052,0.2605130246476754,0.5965909090909091,0.3883730426971568,0.6068702290076335,0.005397761688446937
val,P2-Direct-Clean,strict_fair,"42,43",0.4465925722817252,0.007595556623180622,0.6441218932832399,0.009938874919717783,0.4934662317247811,0.012854893198307097,0.23366464660112557,0.02360493919231651,0.7379577394992741,0.018840424001756978,0.8618844696969697,0.025937723710209627,0.19323472821839635,0.017699590690474113,0.15651254989536345,0.011484803210429481,0.46256038647342995,0.005123962182511236,0.6999504163450541,0.002508477444112752,1.0,0.0,0.35984848484848486,0.005356869554443537,0.5916030534351144,0.005397761688446937
val,P2-PaperFormula-Clean,strict_fair,"42,43",0.45250688721536914,0.013675678035489127,0.672959928711212,0.06084214068830613,0.4856151306189529,0.008233423960214786,0.25091905756188354,0.018468681370078514,0.6950908821534503,0.02978377385062421,0.8992849284928492,0.01991411837005021,0.24055880879972014,0.04743486272870647,0.20792149596412474,0.044240342767282996,0.6509661835748792,0.3023137687681616,0.6644549656310181,0.020083506657728158,0.8947368421052632,0.14886458551295736,0.6325757575757576,0.41783582524659624,0.6526717557251909,0.13494404221117318
val,P2-Lite35-Clean,strict_fair,"42,43",0.45127132765668665,0.012042122123088042,0.6439748176069514,0.0196242220542481,0.4897312730379456,0.002298989246226044,0.2187201817110916,0.02605220298016599,0.7469718246947656,0.009428028626640023,0.8963283828382839,0.02129488243672358,0.21054142512709118,0.017341470410769767,0.17321156380326586,0.015579795308769353,0.4492753623188406,0.023911823518385694,0.6920012301862821,0.0067427738354062195,0.868421052631579,0.03721614637823938,0.3446969696969697,0.021427478217774187,0.5992366412213741,0.026988808442234682
val,P2-Lite35-F7-Clean,strict_fair,"42,43",0.4402279503670645,0.002570592845862721,0.6372043411924174,0.006616531349204166,0.48342916412771464,0.002877393198676642,0.23680296837481732,0.0011534594266858686,0.7336524366217472,0.023657236103749917,0.8847427242724273,0.005964688614779373,0.1934085401138102,0.018659530390924807,0.15819687032801405,0.01755520661021946,0.4432367149758454,0.04269968485426011,0.6870473606203189,0.013518344699199502,0.9210526315789473,0.11164843913471806,0.3560606060606061,0.010713739108887075,0.549618320610687,0.0971597103920447
val,P2-Partial50-Clean,strict_fair,"42,43",0.44762967494859546,0.003100903708153905,0.6356734107133104,0.008174460344602869,0.4953570915013096,0.0022290705407604855,0.23112650879837998,0.008747380178183573,0.7360547584083226,0.02196541452621986,0.9249793729372937,0.0008459610831027054,0.21344184353487194,0.0034790079980216377,0.16783281751100063,0.00652264696374712,0.428743961352657,0.008539936970852022,0.6818175063623191,0.00968081541432933,0.9210526315789473,0.11164843913471806,0.3484848484848485,0.01607060866333065,0.5190839694656488,0.010795523376893873
val,P2-Partial25-Clean,strict_fair,"42,43",0.44910074701348823,0.0028560088436569587,0.6629926370238077,0.04236561265433078,0.5065037464304627,0.004873957340765771,0.2182709688843858,0.026887458396696012,0.7057585747475992,0.03884329731020531,0.8732006923518438,0.06380385612427328,0.23862298335914017,0.06809461472282631,0.20329671122753656,0.08381823367603541,0.5893719806763285,0.30060578137399124,0.6595785106678365,0.07380663241014022,0.6052631578947368,0.33494531740415406,0.5984848484848485,0.4124789556921527,0.5687022900763359,0.1673306123418548
val,P3-M7-Clean,strict_fair,"42,43",0.44113173005689554,0.01316476060599832,0.6465704362077355,0.01979522168238192,0.4769736138202456,0.009151837185787628,0.237032510012653,0.01946941653193935,0.7326044266131744,0.015023366307493137,0.8550753282565098,0.04967098673065105,0.21151562971107962,0.004189166914622784,0.17817944586261328,0.007645045815721551,0.4758454106280193,0.010247924365022395,0.6707478304027115,0.030518688126619287,0.9473684210526316,0.07443229275647868,0.3712121212121212,0.02142747821777415,0.6183206106870229,0.0
val,P3-Lite35-Clean,strict_fair,"42,43",0.43784629506894523,0.008892043707367108,0.6147652502896273,0.01047225827349552,0.48271391106832384,0.0051049840348986715,0.21038679815297884,0.006394223567877122,0.6927522085931055,0.08269718002265403,0.9240936225975539,0.01017315390929572,0.19575907792143632,0.009472329085581892,0.15717873984067987,0.007429544253180421,0.39855072463768115,0.0034159747883408245,0.6799335122164543,0.008311758329152461,0.9736842105263157,0.03721614637823938,0.32007575757575757,0.0026784347772217687,0.4732824427480916,0.0
val,P3-Lite35-F7-Clean,strict_fair,"42,43",0.4304061922193046,0.019509511128767292,0.6389917145165991,0.022207300005348193,0.4691774571173226,0.02674725425387003,0.2133094786824476,0.029356183470639882,0.6905472228139697,0.06347465506120646,0.8965635313531353,0.031230549502405863,0.20680588688035534,0.004405134584065638,0.17017672975692616,0.010066711463885707,0.6280193236714976,0.2903578570089688,0.6540064975582538,0.043424156841600246,0.8421052631578947,0.0,0.6325757575757576,0.4017652165832656,0.5877862595419847,0.10795523376893858
